,Port hub,Year,latitude,longitude,Major/Minor ports,Loaded InBound DOMESTIC,Empty InBound DOMESTIC,Loaded OutBound DOMESTIC,Empty OutBound DOMESTIC,Total DOMESTIC,Loaded InBound FOREIGN,Loaded OutBound  FOREIGN,Total OutBound  FOREIGN,Total Loaded Grand,Count of Event_Amphetamines,Count of Event_Anabolic steroids,Count of Event_Barbiturates,Count of Event_Benzodiazepines,Count of Event_Cannabis,Count of Event_Class A,Count of Event_Class B,Count of Event_Class C,Count of Event_Classification Unknown,Count of Event_Cocaine,Count of Event_Crack,Count of Event_Ecstasy,Count of Event_GHB,Count of Event_Ketamine,Count of Event_LSD,Count of Event_Mephedrone,Count of Event_Methadone,Count of Event_Morphine,Count of Event_Nitrous Oxide,Count of Event_Other Class A,Count of Event_Other Class B,Count of Event_Other Class C,Count of Event_Temazepam,Count of Event_Unnamed: 24,Sum Qty (kg)_Amphetamines,Sum Qty (kg)_Anabolic steroids,Sum Qty (kg)_Barbiturates,Sum Qty (kg)_Benzodiazepines,Sum Qty (kg)_Cannabis,Sum Qty (kg)_Class A,Sum Qty (kg)_Class B,Sum Qty (kg)_Class C,Sum Qty (kg)_Classification Unknown,Sum Qty (kg)_Cocaine,Sum Qty (kg)_Crack,Sum Qty (kg)_Ecstasy,Sum Qty (kg)_GHB,Sum Qty (kg)_Ketamine,Sum Qty (kg)_LSD,Sum Qty (kg)_Mephedrone,Sum Qty (kg)_Methadone,Sum Qty (kg)_Morphine,Sum Qty (kg)_Nitrous Oxide,Sum Qty (kg)_Other Class A,Sum Qty (kg)_Other Class B,Sum Qty (kg)_Other Class C,Sum Qty (kg)_Temazepam,Sum Qty (kg)_Unnamed: 24,Sum Qty (lbs)_Amphetamines,Sum Qty (lbs)_Anabolic steroids,Sum Qty (lbs)_Barbiturates,Sum Qty (lbs)_Benzodiazepines,Sum Qty (lbs)_Cannabis,Sum Qty (lbs)_Class A,Sum Qty (lbs)_Class B,Sum Qty (lbs)_Class C,Sum Qty (lbs)_Classification Unknown,Sum Qty (lbs)_Cocaine,Sum Qty (lbs)_Crack,Sum Qty (lbs)_Ecstasy,Sum Qty (lbs)_GHB,Sum Qty (lbs)_Ketamine,Sum Qty (lbs)_LSD,Sum Qty (lbs)_Mephedrone,Sum Qty (lbs)_Methadone,Sum Qty (lbs)_Morphine,Sum Qty (lbs)_Nitrous Oxide,Sum Qty (lbs)_Other Class A,Sum Qty (lbs)_Other Class B,Sum Qty (lbs)_Other Class C,Sum Qty (lbs)_Temazepam,Sum Qty (lbs)_Unnamed: 24
0,Bristol Channel,2018.0,51.50705555555555,-2.7167222222222223,Major port,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.471,511.0,63.0,0.0,688.0,9587.0,0.0,0.0,0.0,0.0,1651.0,831.0,1749.0,3.0,180.0,24.0,4.0,94.0,27.0,0.0,165.0,310.0,227.0,4.0,1718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Bristol Channel,2018.0,51.50705555555555,-2.7167222222222223,Major port,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769.862,511.0,63.0,0.0,688.0,9587.0,0.0,0.0,0.0,0.0,1651.0,831.0,1749.0,3.0,180.0,24.0,4.0,94.0,27.0,0.0,165.0,310.0,227.0,4.0,1718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Bristol Channel,2018.0,51.50705555555555,-2.7167222222222223,Major port,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6634.654,511.0,63.0,0.0,688.0,9587.0,0.0,0.0,0.0,0.0,1651.0,831.0,1749.0,3.0,180.0,24.0,4.0,94.0,27.0,0.0,165.0,310.0,227.0,4.0,1718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Bristol Channel,2018.0,51.50705555555555,-2.7167222222222223,Major port,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8446.168,511.0,63.0,0.0,688.0,9587.0,0.0,0.0,0.0,0.0,1651.0,831.0,1749.0,3.0,180.0,24.0,4.0,94.0,27.0,0.0,165.0,310.0,227.0,4.0,1718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Bristol Channel,2018.0,51.50705555555555,-2.7167222222222223,Major port,0.0,0.0,0.0,0.0,0.0,1286.3,2741.64,4027.94,6847.203,511.0,63.0,0.0,688.0,9587.0,0.0,0.0,0.0,0.0,1651.0,831.0,1749.0,3.0,180.0,24.0,4.0,94.0,27.0,0.0,165.0,310.0,227.0,4.0,1718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Bristol Channel,2019.0,51.50705555555555,-2.7167222222222223,Major port,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.322,511.0,63.0,0.0,688.0,9587.0,0.0,0.0,0.0,0.0,1651.0,831.0,3498.0,3.0,180.0,24.0,4.0,94.0,27.0,0.0,165.0,310.0,227.0,4.0,1718.0,7.147399499999998,4.34820229,0.0,229.31277,0.0,0.0,0.0,0.0,0.0,16.78579510000001,4.716977,86.68442894,0.17169800000000002,1.1584569999999998,0.518,0.0,13.910249000000002,10.65300313,0.0,0.0,0.0,0.0,0.038,0.0,3.242009734103836,1.9723137275358114,0.0,104.01464651504567,0.0,0.0,0.0,0.0,0.0,7.61391763659951,2.1395873211709953,39.319442325661576,0.0778809953642804,0.5254678810860827,0.2349611270876612,0.0,6.309590314884197,4.8321266839636765,0.0,0.0,0.0,0.0,0.0172365305585543,0.0
6,Bristol Channel,2019.0,51.50705555555555,-2.7167222222222223,Major port,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1697.008,511.0,63.0,0.0,688.0,9587.0,0.0,0.0,0.0,0.0,1651.0,831.0,3498.0,3.0,180.0,24.0,4.0,94.0,27.0,0.0,165.0,310.0,227.0,4.0,1718.0,7.147399499999998,4.34820229,0.0,229.31277,0.0,0.0,0.0,0.0,0.0,16.78579510000001,4.716977,86.68442894,0.17169800000000002,1.1584569999999998,0.518,0.0,13.910249000000002,10.65300313,0.0,0.0,0.0,0.0,0.038,0.0,3.242009734103836,1.9723137275358114,0.0,104.01464651504567,0.0,0.0,0.0,0.0,0.0,7.61391763659951,2.1395873211709953,39.319442325661576,0.0778809953642804,0.5254678810860827,0.2349611270876612,0.0,6.309590314884197,4.8321266839636765,0.0,0.0,0.0,0.0,0.0172365305585543,0.0
7,Bristol Channel,2019.0,51.50705555555555,-2.7167222222222223,Major port,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6713.189,511.0,63.0,0.0,688.0,9587.0,0.0,0.0,0.0,0.0,1651.0,831.0,3498.0,3.0,180.0,24.0,4.0,94.0,27.0,0.0,165.0,310.0,227.0,4.0,1718.0,7.147399499999998,4.34820229,0.0,229.31277,0.0,0.0,0.0,0.0,0.0,16.78579510000001,4.716977,86.68442894,0.17169800000000002,1.1584569999999998,0.518,0.0,13.910249000000002,10.65300313,0.0,0.0,0.0,0.0,0.038,0.0,3.242009734103836,1.9723137275358114,0.0,104.01464651504567,0.0,0.0,0.0,0.0,0.0,7.61391763659951,2.1395873211709953,39.319442325661576,0.0778809953642804,0.5254678810860827,0.2349611270876612,0.0,6.309590314884197,4.8321266839636765,0.0,0.0,0.0,0.0,0.0172365305585543,0.0
8,Bristol Channel,2019.0,51.50705555555555,-2.7167222222222223,Major port,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8189.825,511.0,63.0,0.0,688.0,9587.0,0.0,0.0,0.0,0.0,1651.0,831.0,3498.0,3.0,180.0,24.0,4.0,94.0,27.0,0.0,165.0,310.0,227.0,4.0,1718.0,7.147399499999998,4.34820229,0.0,229.31277,0.0,0.0,0.0,0.0,0.0,16.78579510000001,4.716977,86.68442894,0.17169800000000002,1.1584569999999998,0.518,0.0,13.910249000000002,10.65300313,0.0,0.0,0.0,0.0,0.038,0.0,3.242009734103836,1.9723137275358114,0.0,104.01464651504567,0.0,0.0,0.0,0.0,0.0,7.61391763659951,2.1395873211709953,39.319442325661576,0.0778809953642804,0.5254678810860827,0.2349611270876612,0.0,6.309590314884197,4.8321266839636765,0.0,0.0,0.0,0.0,0.0172365305585543,0.0
9,Bristol Channel,2019.0,51.50705555555555,-2.7167222222222223,Major port,0.0,0.0,0.0,0.0,0.0,7443.74,4699.14,12142.88,14730.489,511.0,63.0,0.0,688.0,9587.0,0.0,0.0,0.0,0.0,1651.0,831.0,3498.0,3.0,180.0,24.0,4.0,94.0,27.0,0.0,165.0,310.0,227.0,4.0,1718.0,7.147399499999998,4.34820229,0.0,229.31277,0.0,0.0,0.0,0.0,0.0,16.78579510000001,4.716977,86.68442894,0.17169800000000002,1.1584569999999998,0.518,0.0,13.910249000000002,10.65300313,0.0,0.0,0.0,0.0,0.038,0.0,3.242009734103836,1.9723137275358114,0.0,104.01464651504567,0.0,0.0,0.0,0.0,0.0,7.61391763659951,2.1395873211709953,39.319442325661576,0.0778809953642804,0.5254678810860827,0.2349611270876612,0.0,6.309590314884197,4.8321266839636765,0.0,0.0,0.0,0.0,0.0172365305585543,0.0
