,Area of Responsibility,Year,Drug Type,Count of Event,Sum Qty (kg),Sum Qty (lbs),FY,Month (abbv),Component,Region,Land Filter,Month,Date
0,Cleveland,2018,Unnamed: 24,340,,,,,,,,,
1,Durham,2018,Unnamed: 24,595,,,,,,,,,
2,Northumbria,2018,Unnamed: 24,586,,,,,,,,,
3,Cheshire,2018,Unnamed: 24,186,,,,,,,,,
4,Cumbria,2018,Unnamed: 24,21,,,,,,,,,
5,Greater Manchester,2018,Unnamed: 24,511,,,,,,,,,
6,Lancashire,2018,Unnamed: 24,0,,,,,,,,,
7,Merseyside,2018,Unnamed: 24,0,,,,,,,,,
8,Humberside,2018,Unnamed: 24,19,,,,,,,,,
9,North Yorkshire,2018,Unnamed: 24,890,,,,,,,,,
10,South Yorkshire,2018,Unnamed: 24,467,,,,,,,,,
11,West Yorkshire,2018,Unnamed: 24,750,,,,,,,,,
12,Derbyshire,2018,Unnamed: 24,0,,,,,,,,,
13,Leicestershire,2018,Unnamed: 24,0,,,,,,,,,
14,Lincolnshire 1,2018,Unnamed: 24,10,,,,,,,,,
15,Northamptonshire,2018,Unnamed: 24,293,,,,,,,,,
16,Nottinghamshire,2018,Unnamed: 24,0,,,,,,,,,
17,Staffordshire,2018,Unnamed: 24,0,,,,,,,,,
18,Warwickshire,2018,Unnamed: 24,465,,,,,,,,,
19,West Mercia,2018,Unnamed: 24,1007,,,,,,,,,
20,West Midlands,2018,Unnamed: 24,0,,,,,,,,,
21,Bedfordshire,2018,Unnamed: 24,0,,,,,,,,,
22,Cambridgeshire,2018,Unnamed: 24,11,,,,,,,,,
23,Essex,2018,Unnamed: 24,0,,,,,,,,,
24,Hertfordshire 1,2018,Unnamed: 24,300,,,,,,,,,
25,Norfolk,2018,Unnamed: 24,222,,,,,,,,,
26,Suffolk,2018,Unnamed: 24,1021,,,,,,,,,
27,"London, City of",2018,Unnamed: 24,16,,,,,,,,,
28,Metropolitan Police,2018,Unnamed: 24,336,,,,,,,,,
29,Hampshire,2018,Unnamed: 24,0,,,,,,,,,
30,Kent 1,2018,Unnamed: 24,643,,,,,,,,,
31,Surrey,2018,Unnamed: 24,0,,,,,,,,,
32,Sussex,2018,Unnamed: 24,242,,,,,,,,,
33,Thames Valley,2018,Unnamed: 24,5,,,,,,,,,
34,Avon & Somerset,2018,Unnamed: 24,1264,,,,,,,,,
35,Devon & Cornwall,2018,Unnamed: 24,165,,,,,,,,,
36,Dorset,2018,Unnamed: 24,289,,,,,,,,,
37,Gloucestershire,2018,Unnamed: 24,0,,,,,,,,,
38,Wiltshire,2018,Unnamed: 24,255,,,,,,,,,
39,Dyfed-Powys,2018,Unnamed: 24,0,,,,,,,,,
40,Gwent,2018,Unnamed: 24,44,,,,,,,,,
41,North Wales,2018,Unnamed: 24,541,,,,,,,,,
42,South Wales,2018,Unnamed: 24,0,,,,,,,,,
43,British Transport Police,2018,Unnamed: 24,21,,,,,,,,,
44,Total police,2018,Unnamed: 24,11489,,,,,,,,,
45,"Border Force 4, 5, 6, 7",2018,Unnamed: 24,..,,,,,,,,,
46,TOTAL ENGLAND AND WALES 2,2018,Unnamed: 24,11489,,,,,,,,,
47,,2019,Unnamed: 24,,,,,,,,,,
48,Cleveland,2019,Unnamed: 24,340,,,,,,,,,
49,Durham,2019,Unnamed: 24,595,,,,,,,,,
50,Northumbria,2019,Unnamed: 24,586,,,,,,,,,
51,Cheshire,2019,Unnamed: 24,186,,,,,,,,,
52,Cumbria,2019,Unnamed: 24,21,,,,,,,,,
53,Greater Manchester,2019,Unnamed: 24,511,,,,,,,,,
54,Lancashire,2019,Unnamed: 24,0,,,,,,,,,
55,Merseyside,2019,Unnamed: 24,0,,,,,,,,,
56,Humberside,2019,Unnamed: 24,19,,,,,,,,,
57,North Yorkshire,2019,Unnamed: 24,890,,,,,,,,,
58,South Yorkshire,2019,Unnamed: 24,467,,,,,,,,,
59,West Yorkshire,2019,Unnamed: 24,750,,,,,,,,,
60,Derbyshire,2019,Unnamed: 24,0,,,,,,,,,
61,Leicestershire,2019,Unnamed: 24,0,,,,,,,,,
62,Lincolnshire 1,2019,Unnamed: 24,10,,,,,,,,,
63,Northamptonshire,2019,Unnamed: 24,293,,,,,,,,,
64,Nottinghamshire,2019,Unnamed: 24,0,,,,,,,,,
65,Staffordshire,2019,Unnamed: 24,0,,,,,,,,,
66,Warwickshire,2019,Unnamed: 24,465,,,,,,,,,
67,West Mercia,2019,Unnamed: 24,1007,,,,,,,,,
68,West Midlands,2019,Unnamed: 24,0,,,,,,,,,
69,Bedfordshire,2019,Unnamed: 24,0,,,,,,,,,
70,Cambridgeshire,2019,Unnamed: 24,11,,,,,,,,,
71,Essex,2019,Unnamed: 24,0,,,,,,,,,
72,Hertfordshire 1,2019,Unnamed: 24,300,,,,,,,,,
73,Norfolk,2019,Unnamed: 24,222,,,,,,,,,
74,Suffolk,2019,Unnamed: 24,1021,,,,,,,,,
75,"London, City of",2019,Unnamed: 24,16,,,,,,,,,
76,Metropolitan Police,2019,Unnamed: 24,336,,,,,,,,,
77,Hampshire,2019,Unnamed: 24,0,,,,,,,,,
78,Kent 1,2019,Unnamed: 24,643,,,,,,,,,
79,Surrey,2019,Unnamed: 24,0,,,,,,,,,
80,Sussex,2019,Unnamed: 24,242,,,,,,,,,
81,Thames Valley,2019,Unnamed: 24,5,,,,,,,,,
82,Avon & Somerset,2019,Unnamed: 24,1264,,,,,,,,,
83,Devon & Cornwall,2019,Unnamed: 24,165,,,,,,,,,
84,Dorset,2019,Unnamed: 24,289,,,,,,,,,
85,Gloucestershire,2019,Unnamed: 24,0,,,,,,,,,
86,Wiltshire,2019,Unnamed: 24,255,,,,,,,,,
87,Dyfed-Powys,2019,Unnamed: 24,0,,,,,,,,,
88,Gwent,2019,Unnamed: 24,44,,,,,,,,,
89,North Wales,2019,Unnamed: 24,541,,,,,,,,,
90,South Wales,2019,Unnamed: 24,0,,,,,,,,,
91,British Transport Police,2019,Unnamed: 24,21,,,,,,,,,
92,Total police,2019,Unnamed: 24,11489,,,,,,,,,
