,PORT NAME,STATE,Loaded InBound DOMESTIC,Empty InBound DOMESTIC,Loaded OutBound DOMESTIC,Empty OutBound DOMESTIC,Total DOMESTIC,Loaded InBound FOREIGN,Loaded OutBound  FOREIGN,Total OutBound  FOREIGN,Total Loaded Grand,Year
0,Los Angeles,CA,11776.5,0.0,130634.0,0.0,142410.5,4897579.07,1587302.85,6484881.92,6627292.42,2018
1,Long Beach,CA,31218.3,58504.95,185522.05,559.75,275805.05,4104052.21,1274929.59,5378981.8,5595722.15,2018
2,New York (NY and NJ),NY,26753.25,2479.8,27348.25,2479.8,59061.1,3755565.38,1472824.57,5228389.95,5282491.45,2018
3,Savannah,GA,0.0,0.0,0.0,0.0,0.0,2027371.08,1359487.02,3386858.1,3386858.1,2018
4,Houston,TX,0.0,0.0,0.0,0.0,0.0,1209367.71,1042277.63,2251645.34,2251645.34,2018
5,Port of Virginia,VA,4571.75,1647.65,6450.0,182.2,12851.6,1301880.96,892702.2,2194583.16,2205604.91,2018
6,Oakland,CA,25896.25,60636.75,90645.85,1602.0,178780.85,949730.14,746293.61,1696023.75,1812565.85,2018
7,Charleston,SC,0.0,0.0,0.0,0.0,0.0,1022114.56,780954.04,1803068.6,1803068.6,2018
8,Tacoma,WA,68048.95,74955.25,211942.55,1838.2,356784.95,766968.77,505190.63,1272159.4,1552150.9,2018
9,Seattle,WA,66871.75,144419.25,145019.1,15757.0,372067.1,702404.95,401049.01,1103453.96,1315344.81,2018
10,Honolulu,HI,490314.4,135103.55,304124.95,168881.8,1098424.7,25660.78,15611.55,41272.33,835711.68,2018
11,Miami,FL,0.0,0.0,0.0,0.0,0.0,456573.92,347175.58,803749.5,803749.5,2018
12,Port Everglades,FL,0.0,0.0,0.0,0.0,0.0,365823.58,429219.59,795043.17,795043.17,2018
13,Jacksonville,FL,54130.45,43049.45,349221.7,1231.35,447632.95,257498.34,113633.06,371131.4,774483.55,2018
14,Baltimore,MD,6450.0,182.2,4294.5,1235.15,12161.85,478038.96,224407.04,702446.0,713190.5,2018
15,San Juan,PR,369340.9,1493.6,67714.45,51222.45,489771.4,215844.07,38284.64,254128.71,691184.06,2018
16,New Orleans,LA,0.0,0.0,0.0,0.0,0.0,122776.09,277421.44,400197.53,400197.53,2018
