,port_name,Region/State,Port hub,coord_0,coord_1,Major/Minor ports,id_Port,Year,Loaded InBound DOMESTIC,Empty InBound DOMESTIC,Loaded OutBound DOMESTIC,Empty OutBound DOMESTIC,Total DOMESTIC,Loaded InBound FOREIGN,Loaded OutBound  FOREIGN,Total OutBound  FOREIGN,Total Loaded Grand
0,baltimore,MD,"baltimore, md, filadelfia, pa",39.16201698275862,-76.08407508620691,,,2018.0,6450.0,182.2,4294.5,1235.15,12161.85,478038.96,224407.04,702446.0,713190.5
1,baltimore,MD,"baltimore, md, filadelfia, pa",39.16201698275862,-76.08407508620691,,,2019.0,10515.75,564.8,10145.25,1603.9,22829.7,499604.08,220148.93,719753.01,740414.01
2,baltimore,MD,"baltimore, md, filadelfia, pa",39.16201698275862,-76.08407508620691,,,2020.0,301.0,0.0,158.0,0.0,459.0,524197.03,205329.45,729526.48,729985.48
3,baltimore,MD,"baltimore, md, filadelfia, pa",39.16201698275862,-76.08407508620691,,,2021.0,26483.0,0.0,18239.0,0.0,44722.0,486108.38,231060.82,717169.2,761891.2
4,baltimore,MD,"baltimore, md, filadelfia, pa",39.16201698275862,-76.08407508620691,,,2022.0,35993.0,774.4,23096.25,6309.5,66173.15,521729.16,210043.67,731772.83,790862.08
5,beaumont,TX,"houston/galveston, tx",29.602093408239703,-94.66715344569288,,,2021.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,22.0,22.0
6,beaumont,TX,"houston/galveston, tx",29.602093408239703,-94.66715344569288,,,2022.0,0.0,0.0,0.0,0.0,0.0,3.75,10.0,13.75,13.75
7,bellingham,WA,"seattle/tacoma, wa",47.449354639175255,-122.42877860824744,,,2021.0,0.0,0.0,0.0,0.0,0.0,606.39,0.0,606.39,606.39
8,bellingham,WA,"seattle/tacoma, wa",47.449354639175255,-122.42877860824744,,,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,153.49,153.49,153.49
9,bethel,AK,,,,,,2018.0,3367.6,1020.05,576.5,1312.6,6276.75,0.0,0.0,0.0,3944.1
10,bethel,AK,,,,,,2019.0,3058.4,681.55,1044.1,1069.6,5853.65,0.0,0.0,0.0,4102.5
11,bethel,AK,,,,,,2020.0,2816.5,484.2,770.1,858.2,4929.0,0.0,0.0,0.0,3586.6
12,bethel,AK,,,,,,2021.0,1383.65,273.85,570.75,424.85,2653.1,0.0,0.0,0.0,1954.4
13,bethel,AK,,,,,,2022.0,2385.15,553.2,65.75,370.9,3375.0,0.0,0.0,0.0,2450.9
14,brevig mission,AK,,,,,,2021.0,0.0,0.0,27.8,9.0,36.8,0.0,0.0,0.0,27.8
15,brevig mission,AK,,,,,,2022.0,7.5,0.0,6.0,27.0,40.5,0.0,0.0,0.0,13.5
16,buffalo,NY,"erie/buffalo, ny, hamilton/toronto, canada",43.279341333333335,-79.57720466666666,,,2021.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0
17,buffalo,NY,"erie/buffalo, ny, hamilton/toronto, canada",43.279341333333335,-79.57720466666666,,,2022.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0
18,calhoun port authority,TX,"corpus christi, tx",26.56988564516129,-97.17190096774192,,,2022.0,0.0,0.0,0.0,0.0,0.0,1851.97,1088.51,2940.48,2940.48
19,canaveral port district,FL,"tampa, fl",27.84197524691358,-82.33899320987655,,,2021.0,0.0,0.0,0.0,0.0,0.0,533.19,237.25,770.44,770.44
20,canaveral port district,FL,"tampa, fl",27.84197524691358,-82.33899320987655,,,2022.0,0.0,0.0,0.0,0.0,0.0,2118.47,1682.89,3801.36,3801.36
21,cheboygan,MI,Michigan-canada,46.026427,-84.311425,,,2021.0,0.0,0.0,0.0,0.0,0.0,7.01,0.0,7.01,7.01
22,cheboygan,MI,Michigan-canada,46.026427,-84.311425,,,2022.0,0.0,0.0,0.0,0.0,0.0,19.27,0.0,19.27,19.27
23,clallam county port district,WA,"seattle/tacoma, wa",47.449354639175255,-122.42877860824744,,,2021.0,0.0,0.0,0.0,0.0,0.0,774.98,0.0,774.98,774.98
24,clallam county port district,WA,"seattle/tacoma, wa",47.449354639175255,-122.42877860824744,,,2022.0,0.0,0.0,0.0,0.0,0.0,2421.73,0.0,2421.73,2421.73
25,cleveland-cuyahoga county,OH,"detroit, mi/ toledo, cleveland, oh",42.37002410714285,-82.85000535714286,,,2021.0,0.0,0.0,0.0,0.0,0.0,976.01,0.0,976.01,976.01
26,cleveland-cuyahoga county,OH,"detroit, mi/ toledo, cleveland, oh",42.37002410714285,-82.85000535714286,,,2022.0,0.0,0.0,0.0,0.0,0.0,4642.43,429.0,5071.43,5071.43
27,cordova,AK,,,,,,2018.0,1790.1,1513.85,2459.65,1128.55,6892.15,0.0,0.0,0.0,4249.75
28,cordova,AK,,,,,,2019.0,1984.65,2152.45,3338.2,1146.2,8621.5,0.0,0.0,0.0,5322.85
29,cordova,AK,,,,,,2020.0,1696.05,1446.75,2163.65,1004.5,6310.95,0.0,0.0,0.0,3859.7
30,cordova,AK,,,,,,2021.0,2018.3,2322.25,3501.05,880.55,8722.15,0.0,0.0,0.0,5519.35
31,cordova,AK,,,,,,2022.0,1715.75,1132.55,2121.95,1279.7,6249.95,0.0,0.0,0.0,3837.7
32,corpus christi,TX,"corpus christi, tx",26.56988564516129,-97.17190096774192,,,2021.0,0.0,0.0,0.0,0.0,0.0,595.73,0.0,595.73,595.73
33,corpus christi,TX,"corpus christi, tx",26.56988564516129,-97.17190096774192,,,2022.0,0.0,0.0,0.0,0.0,0.0,127.29,2.0,129.29,129.29
34,detour,MI,Michigan-canada,46.026427,-84.311425,,,2022.0,0.0,0.0,0.0,0.0,0.0,5.75,0.0,5.75,5.75
35,detroit/wayne county port authority,MI,"detroit, mi/ toledo, cleveland, oh",42.37002410714285,-82.85000535714286,,,2021.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,1.76,1.76
36,detroit/wayne county port authority,MI,"detroit, mi/ toledo, cleveland, oh",42.37002410714285,-82.85000535714286,,,2022.0,0.0,0.0,0.0,0.0,0.0,581.06,1.0,582.06,582.06
37,dillingham,AK,,,,,,2021.0,1670.8,631.8,724.1,491.1,3517.8,0.0,0.0,0.0,2394.9
38,dillingham,AK,,,,,,2022.0,1969.3,569.4,575.15,1257.05,4370.9,0.0,0.0,0.0,2544.45
39,duluth-superior,WI,"duluth, mn",46.77014048780488,-92.03004219512196,,,2021.0,0.0,0.0,0.0,0.0,0.0,29.95,0.0,29.95,29.95
40,duluth-superior,WI,"duluth, mn",46.77014048780488,-92.03004219512196,,,2022.0,0.0,0.0,0.0,0.0,0.0,322.88,194.0,516.88,516.88
41,fall river port authority,MA,"boston, ma",41.93522783018868,-70.91931396226416,,,2021.0,0.0,0.0,0.0,0.0,0.0,73.55,0.0,73.55,73.55
42,fall river port authority,MA,"boston, ma",41.93522783018868,-70.91931396226416,,,2022.0,0.0,0.0,0.0,0.0,0.0,73.53,0.0,73.53,73.53
43,false pass,AK,,,,,,2019.0,486.6,1247.25,3472.55,2210.4,7416.8,0.0,0.0,0.0,3959.15
44,false pass,AK,,,,,,2021.0,284.5,2189.5,3072.4,481.3,6027.7,0.0,0.0,0.0,3356.9
45,false pass,AK,,,,,,2022.0,377.6,2251.75,2310.7,698.5,5638.55,0.0,0.0,0.0,2688.3
46,galveston,TX,"houston/galveston, tx",29.602093408239703,-94.66715344569288,,,2018.0,0.0,0.0,0.0,0.0,0.0,16243.96,8098.11,24342.07,24342.07
47,galveston,TX,"houston/galveston, tx",29.602093408239703,-94.66715344569288,,,2019.0,0.0,0.0,0.0,0.0,0.0,16238.24,6423.9,22662.14,22662.14
48,galveston,TX,"houston/galveston, tx",29.602093408239703,-94.66715344569288,,,2020.0,0.0,0.0,0.0,0.0,0.0,19259.27,20687.4,39946.67,39946.67
49,galveston,TX,"houston/galveston, tx",29.602093408239703,-94.66715344569288,,,2021.0,0.0,0.0,0.0,0.0,0.0,18241.2,10560.16,28801.36,28801.36
50,galveston,TX,"houston/galveston, tx",29.602093408239703,-94.66715344569288,,,2022.0,0.0,0.0,0.0,0.0,0.0,19234.56,6948.27,26182.83,26182.83
51,guayanilla,PR,"san juan, puerto rico",18.307611,-65.421345,,,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0
52,guaynabo,PR,"san juan, puerto rico",18.307611,-65.421345,,,2021.0,116610.6,0.0,0.0,0.0,116610.6,0.0,0.0,0.0,116610.6
53,guaynabo,PR,"san juan, puerto rico",18.307611,-65.421345,,,2022.0,120553.8,1102.4,0.0,0.0,121656.2,0.0,0.0,0.0,120553.8
54,haines borough,AK,,,,,,2018.0,8484.35,952.8,3578.7,2926.75,15942.6,0.0,0.0,0.0,12063.05
55,haines borough,AK,,,,,,2019.0,8243.9,774.65,3578.4,2869.55,15466.5,0.0,0.0,0.0,11822.3
56,haines borough,AK,,,,,,2020.0,7926.0,662.8,3232.75,2360.55,14182.1,0.0,0.0,0.0,11158.75
57,haines borough,AK,,,,,,2021.0,8416.6,672.0,3391.95,2560.85,15041.4,0.0,0.0,0.0,11808.55
58,haines borough,AK,,,,,,2022.0,8956.7,865.8,3492.7,2638.9,15954.1,0.0,0.0,0.0,12449.4
59,hilo,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2018.0,28725.85,3818.85,9214.6,9672.05,51431.35,0.0,0.0,0.0,37940.45
60,hilo,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2019.0,28096.2,3873.7,8424.25,11268.8,51662.95,0.0,0.0,0.0,36520.45
61,hilo,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2020.0,21597.2,2470.45,6083.0,9357.5,39508.15,0.0,0.0,0.0,27680.2
62,hilo,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2021.0,24855.1,3485.1,8914.95,14532.65,51787.8,0.0,0.0,0.0,33770.05
63,hilo,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2022.0,25473.05,5134.5,10857.55,12498.55,53963.65,0.0,0.0,0.0,36330.6
64,honolulu,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2018.0,490314.4,135103.55,304124.95,168881.8,1098424.7,25660.78,15611.55,41272.33,835711.68
65,honolulu,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2019.0,497064.55,141729.5,299542.55,165900.15,1104236.75,19710.34,16949.48,36659.82,833266.92
66,honolulu,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2020.0,471539.1,133035.45,280134.7,146886.45,1031595.7,19268.05,14070.75,33338.8,785012.6
