location
"Charleston, SC"
"Portland, OR"
"Houston/Galveston, TX"
"Great Los Angeles, CA"
"Honolulu, HI"
"Thunder Bay, Canada"
"Newark/New York, NJ/NY"
"Santo Domingo, Republica Dominicana"
"New Orleans, LO"
"Miami-Fort Lauderdale, FL"
"Detroit, MI/ Toledo, Cleveland, OH"
"Vancouver, Canada"
"Norfolk, VI"
"San Francisco Bay Area, CA"
"Tampa, FL"
"San Juan, Puerto Rico"
"Jackson County, MS, Mobile, AL"
"Chicago, IL"
"Montreal, Canada"
"Corpus Christi, TX"
"Duluth, MN"
"Baltimore, MD, Filadelfia, PA"
"Jacksonville, FL"
"Boston, MA"
"San Diego, CA"
"Seattle/Tacoma, WA"
"La Habana, Cuba"
Michigan-Canada
"Savannah, GA"
"Erie/Buffalo, NY, Hamilton/Toronto, Canada"
"Wilmington, NC"
