MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
255915729,2024-09-01T00:00:00,32.8349,-79.89273,1.7,23.4,327.0,ALS JUNO,IMO9948645,CQ2187,72.0,0.0,255.0,43.0,12.0,72.0,A
367651380,2024-09-01T00:00:05,29.14075,-90.19663,0.0,247.9,339.0,ELK,IMO9724295,WDH7758,70.0,0.0,58.0,15.0,3.0,70.0,A
367338000,2024-09-01T00:00:06,29.13019,-90.20161,0.0,246.9,338.0,HARVEY POWER,IMO9654232,KVEY,70.0,0.0,92.0,20.0,0.0,70.0,A
374353000,2024-09-01T00:00:03,47.97902,-122.22707,1.9,258.7,243.0,COSMIC ACE,IMO9779927,3EDH6,70.0,0.0,119.0,21.0,5.5,70.0,A
357380000,2024-09-01T00:00:05,18.63366,-66.30846,13.6,283.4,281.0,MAIRA,IMO9203502,3FHC3,70.0,0.0,207.0,30.0,8.8,70.0,A
373773000,2024-09-01T00:00:04,26.09102,-96.66571,12.5,70.4,68.0,SEAMASTER,IMO9783655,3FJW5,70.0,0.0,180.0,30.0,7.6,70.0,A
316001637,2024-09-01T00:00:05,41.45869,-82.73172,0.0,167.8,14.0,CSL LAURENTIEN,IMO7423108,VCJW,79.0,0.0,225.0,24.0,8.1,79.0,A
255802390,2024-09-01T00:00:03,46.90455,-85.26192,11.6,114.0,114.0,BARBRO G,IMO9546796,CQOW,70.0,0.0,190.0,24.0,6.6,70.0,A
351700000,2024-09-01T00:00:03,36.86353,-75.86763,9.8,127.4,124.0,NEW LIU LIN HAI,IMO9285108,H8MH,70.0,0.0,189.0,32.0,11.8,70.0,A
245278000,2024-09-01T00:00:02,40.52517,-74.01233,12.6,138.0,0.0,EEMSBORG,IMO9423748,PBMD,70.0,0.0,137.0,15.0,6.8,79.0,A
538007722,2024-09-01T00:00:06,33.87016,-124.18909,11.3,95.3,96.0,GENCO MADELEINE,IMO9705976,V7OF6,70.0,0.0,200.0,32.0,13.5,70.0,A
370062000,2024-09-01T00:00:06,48.48199,-124.62511,10.0,294.2,295.0,FRONTIER LODESTAR,IMO9590864,H8YO,79.0,0.0,292.0,45.0,17.5,79.0,A
366954010,2024-09-01T00:00:01,29.5641,-90.38822,0.0,226.1,109.0,GOL WORKER,IMO9297747,WDM5168,70.0,0.0,56.0,15.0,4.1,70.0,A
311015100,2024-09-01T00:00:01,25.40392,-123.09075,19.0,290.7,292.0,SUNSHINE ACE,IMO9338852,C6XN6,70.0,0.0,200.0,32.0,8.5,70.0,A
367659780,2024-09-01T00:00:02,29.34928,-90.24725,0.0,360.0,511.0,STARFLEET GUARDIAN,IMO9780184,WDH8611,70.0,0.0,53.0,11.0,0.0,70.0,A
368237190,2024-09-01T00:00:05,31.14937,-117.31279,8.6,342.9,340.0,GO BEYOND,IMO9622655,WDM7781,70.0,0.0,55.0,15.0,3.3,70.0,A
548961000,2024-09-01T00:00:00,39.93517,-75.13231,0.0,99.1,6.0,ACTION TRADER,IMO9808663,DUJE,70.0,5.0,180.0,30.0,7.9,70.0,A
371519000,2024-09-01T00:00:05,48.41123,-124.52838,9.0,113.0,113.0,MARCOS V,IMO9307059,3ECH9,70.0,0.0,293.0,40.0,12.8,70.0,A
367486370,2024-09-01T00:00:01,29.32363,-94.78207,0.0,273.3,41.0,NRC QUEST,IMO9271195,WDF7619,70.0,0.0,44.0,12.0,2.5,70.0,A
372848000,2024-09-01T00:00:03,29.78334,-93.34611,10.2,177.2,175.0,AFRICAN BATELEUR,IMO9688219,3EYK4,70.0,0.0,199.0,36.0,8.5,70.0,A
