,clusters,coord_0,coord_1,location
0,0,32.76884049295775,-79.81073528169014,"Charleston, SC"
1,1,45.81600253731344,-123.1006234328358,"Portland, OR"
2,2,29.602093408239703,-94.66715344569288,"Houston/Galveston, TX"
3,3,33.804338012958965,-118.37905453563714,"Great Los Angeles, CA"
4,4,21.30005636363636,-157.84118363636364,"Honolulu, HI"
5,5,48.29999277310924,-89.0769975630252,"Thunder Bay, Canada"
6,6,40.6909464495114,-74.15705749185668,"Newark/New York, NJ/NY"
7,7,18.43238425925926,-69.6531762962963,"Santo Domingo, Republica Dominicana"
8,8,29.635235045806905,-90.30409463002114,"New Orleans, LO"
9,9,26.14492877245509,-79.93771224550898,"Miami-Fort Lauderdale, FL"
10,10,42.37002410714285,-82.85000535714286,"Detroit, MI/ Toledo, Cleveland, OH"
11,11,49.16311076190476,-123.27644925396828,"Vancouver, Canada"
12,12,36.971157838541664,-76.19117182291666,"Norfolk, VI"
13,13,37.90095694063927,-122.20986401826484,"San Francisco Bay Area, CA"
14,14,27.84197524691358,-82.33899320987655,"Tampa, FL"
15,15,18.30761102272728,-65.42134477272728,"San Juan, Puerto Rico"
16,16,30.455800085106382,-87.89717340425531,"Jackson County, MS, Mobile, AL"
17,17,41.80227346938776,-87.3036787755102,"Chicago, IL"
18,18,45.518854,-73.70246366666666,"Montreal, Canada"
19,19,26.56988564516129,-97.17190096774192,"Corpus Christi, TX"
20,20,46.77014048780488,-92.03004219512196,"Duluth, MN"
21,21,39.16201698275862,-76.08407508620691,"Baltimore, MD, Filadelfia, PA"
22,22,30.62464088709677,-81.48267733870966,"Jacksonville, FL"
23,23,41.93522783018868,-70.91931396226416,"Boston, MA"
24,24,32.1247252,-116.84287293333334,"San Diego, CA"
25,25,47.449354639175255,-122.42877860824744,"Seattle/Tacoma, WA"
26,26,23.103119655172414,-82.42988896551724,"La Habana, Cuba"
27,27,46.02642741935484,-84.31142516129032,Michigan-Canada
28,28,32.04481505882353,-80.82024464705883,"Savannah, GA"
29,29,43.279341333333335,-79.57720466666666,"Erie/Buffalo, NY, Hamilton/Toronto, Canada"
30,30,34.444470985915494,-77.20615211267605,"Wilmington, NC"
