ID,Status,Uptime,Country,Location,Ships,Distinct,,,,,,,,,,,
2213,,"100,00 %", Unknown,Worldwide,4171,2148,,,,,,,,,,,
2010,,"100,00 %", Norway, ,3026,2174,,,,,,,,,,,
2077,,"100,00 %", Netherlands,Harderwijk,1067,63,,,,,,,,,,,
2241,,"100,00 %", Netherlands,Gouda,988,200,,,,,,,,,,,
3438,,"99,00 %", Netherlands,Amsterdam,793,225,,,,,,,,,,,
2404,,"100,00 %", Unknown,Roaming stations,777,382,,,,,,,,,,,
2945,,"100,00 %", Netherlands,Rotterdam,757,18,,,,,,,,,,,
3103,,"100,00 %", Canada,Multiple Locations,724,0,,,,,,,,,,,
3343,,"100,00 %", Canada,Point Grey, BC,724,,,,,,,,,,,
2902,,"100,00 %", Singapore,Singapore,703,113,,,,,,,,,,,
2141,,"100,00 %", Norway,Multiple AIS stations,643,123,,,,,,,,,,,
3131,,"100,00 %", Greece,Elliniko,625,63,,,,,,,,,,,
2134,,"100,00 %", United States of America,Fort Lauderdale, FL,603,,,,,,,,,,,
2145,,"100,00 %", Belgium,Antwerp,594,292,,,,,,,,,,,
2097,,"100,00 %", Netherlands,Hellevoetsluis,592,14,,,,,,,,,,,
3272,,"100,00 %", Hong Kong,Tseung Kwan O,541,349,,,,,,,,,,,
2517,,"100,00 %", Brazil,Belem,519,289,,,,,,,,,,,
2918,,"100,00 %", Singapore,Singapore,466,26,,,,,,,,,,,
2435,,"100,00 %", Netherlands,Katwijk,456,40,,,,,,,,,,,
3344,,"100,00 %", Greece,Athens,437,5,,,,,,,,,,,
2214,,"100,00 %", Netherlands,Rotterdam,434,1,,,,,,,,,,,
2323,,"100,00 %", Netherlands,Marken,428,12,,,,,,,,,,,
2118,,"100,00 %", Greece,Alimos,426,2,,,,,,,,,,,
3074,,"100,00 %", Greece,Piraeus,420,2,,,,,,,,,,,
2946,,"100,00 %", Singapore,Singapore,415,12,,,,,,,,,,,
2459,,"100,00 %", Netherlands,Edam,393,21,,,,,,,,,,,
2446,,"100,00 %", Netherlands,IJmuiden,387,17,,,,,,,,,,,
2577,,"100,00 %", Germany,Hamburg,384,22,,,,,,,,,,,
3332,,"100,00 %", Russian Federation,Vladivostok,373,372,,,,,,,,,,,
2698,,"43,00 %", Netherlands,Arnemuiden Oranjeplaat,370,88,,,,,,,,,,,
2997,,"100,00 %", Singapore,Keppel Bay,365,22,,,,,,,,,,,
3567,,"100,00 %", Singapore,Singapore,362,71,,,,,,,,,,,
2032,,"100,00 %", Greece,Athens,347,2,,,,,,,,,,,
3038,,"100,00 %", Greece,Piraeus,346,0,,,,,,,,,,,
3979,,"100,00 %", Netherlands,Hellevoetsluis,341,3,,,,,,,,,,,
3943,,"100,00 %", Korea,Busan,335,215,,,,,,,,,,,
3182,,"47,00 %", United States of America,Seattle,320,41,,,,,,,,,,,
3808,,"100,00 %", Singapore,Singapore,319,64,,,,,,,,,,,
2413,,"81,00 %", Germany,Hamburg Alster,314,1,,,,,,,,,,,
2011,,"100,00 %", Sweden,Gothenburg,307,0,,,,,,,,,,,
2744,,"100,00 %", United States of America,Seattle,305,15,,,,,,,,,,,
2164,,"100,00 %", Sweden,Goteborg, West Coast,304,,,,,,,,,,,
2475,,"100,00 %", Netherlands,Poortugaal,303,1,,,,,,,,,,,
2672,,"100,00 %", United States of America,Highlands,295,26,,,,,,,,,,,
3857,,"100,00 %", Germany,Hamburg,287,0,,,,,,,,,,,
2484,,"93,00 %", United States of America,Biscayne Bay PS - Miami FL,287,57,,,,,,,,,,,
2292,,"100,00 %", Belgium,Gent,285,188,,,,,,,,,,,
2954,,"100,00 %", France,Sophia Antipolis, MINES Paristech,284,,,,,,,,,,,
2650,,"100,00 %", United States of America,Sabine Pass, TX,280,,,,,,,,,,,
2843,,"100,00 %", United Kingdom,Gravesend,279,57,,,,,,,,,,,
2213,,"100,00 %", Unknown,Worldwide,4171,2148,,,,,,,,,,,
2010,,"100,00 %", Norway, ,3026,2174,,,,,,,,,,,
2077,,"100,00 %", Netherlands,Harderwijk,1067,63,,,,,,,,,,,
2241,,"100,00 %", Netherlands,Gouda,988,200,,,,,,,,,,,
3438,,"99,00 %", Netherlands,Amsterdam,793,225,,,,,,,,,,,
2404,,"100,00 %", Unknown,Roaming stations,777,382,,,,,,,,,,,
2945,,"100,00 %", Netherlands,Rotterdam,757,18,,,,,,,,,,,
3103,,"100,00 %", Canada,Multiple Locations,724,0,,,,,,,,,,,
3343,,"100,00 %", Canada,Point Grey, BC,724,,,,,,,,,,,
2902,,"100,00 %", Singapore,Singapore,703,113,,,,,,,,,,,
2141,,"100,00 %", Norway,Multiple AIS stations,643,123,,,,,,,,,,,
3131,,"100,00 %", Greece,Elliniko,625,63,,,,,,,,,,,
2134,,"100,00 %", United States of America,Fort Lauderdale, FL,603,,,,,,,,,,,
2145,,"100,00 %", Belgium,Antwerp,594,292,,,,,,,,,,,
2097,,"100,00 %", Netherlands,Hellevoetsluis,592,14,,,,,,,,,,,
3272,,"100,00 %", Hong Kong,Tseung Kwan O,541,349,,,,,,,,,,,
2517,,"100,00 %", Brazil,Belem,519,289,,,,,,,,,,,
2918,,"100,00 %", Singapore,Singapore,466,26,,,,,,,,,,,
2435,,"100,00 %", Netherlands,Katwijk,456,40,,,,,,,,,,,
3344,,"100,00 %", Greece,Athens,437,5,,,,,,,,,,,
2214,,"100,00 %", Netherlands,Rotterdam,434,1,,,,,,,,,,,
2323,,"100,00 %", Netherlands,Marken,428,12,,,,,,,,,,,
2118,,"100,00 %", Greece,Alimos,426,2,,,,,,,,,,,
3074,,"100,00 %", Greece,Piraeus,420,2,,,,,,,,,,,
2946,,"100,00 %", Singapore,Singapore,415,12,,,,,,,,,,,
2459,,"100,00 %", Netherlands,Edam,393,21,,,,,,,,,,,
2446,,"100,00 %", Netherlands,IJmuiden,387,17,,,,,,,,,,,
2577,,"100,00 %", Germany,Hamburg,384,22,,,,,,,,,,,
3332,,"100,00 %", Russian Federation,Vladivostok,373,372,,,,,,,,,,,
2698,,"43,00 %", Netherlands,Arnemuiden Oranjeplaat,370,88,,,,,,,,,,,
2997,,"100,00 %", Singapore,Keppel Bay,365,22,,,,,,,,,,,
3567,,"100,00 %", Singapore,Singapore,362,71,,,,,,,,,,,
2032,,"100,00 %", Greece,Athens,347,2,,,,,,,,,,,
3038,,"100,00 %", Greece,Piraeus,346,0,,,,,,,,,,,
3979,,"100,00 %", Netherlands,Hellevoetsluis,341,3,,,,,,,,,,,
3943,,"100,00 %", Korea,Busan,335,215,,,,,,,,,,,
3182,,"47,00 %", United States of America,Seattle,320,41,,,,,,,,,,,
3808,,"100,00 %", Singapore,Singapore,319,64,,,,,,,,,,,
2413,,"81,00 %", Germany,Hamburg Alster,314,1,,,,,,,,,,,
2011,,"100,00 %", Sweden,Gothenburg,307,0,,,,,,,,,,,
2744,,"100,00 %", United States of America,Seattle,305,15,,,,,,,,,,,
2164,,"100,00 %", Sweden,Goteborg, West Coast,304,,,,,,,,,,,
2475,,"100,00 %", Netherlands,Poortugaal,303,1,,,,,,,,,,,
2672,,"100,00 %", United States of America,Highlands,295,26,,,,,,,,,,,
3857,,"100,00 %", Germany,Hamburg,287,0,,,,,,,,,,,
2484,,"93,00 %", United States of America,Biscayne Bay PS - Miami FL,287,57,,,,,,,,,,,
2292,,"100,00 %", Belgium,Gent,285,188,,,,,,,,,,,
2954,,"100,00 %", France,Sophia Antipolis, MINES Paristech,284,,,,,,,,,,,
2650,,"100,00 %", United States of America,Sabine Pass, TX,280,,,,,,,,,,,
2843,,"100,00 %", United Kingdom,Gravesend,279,57,,,,,,,,,,,
2249,,"100,00 %", United States of America,San Diego,183,46,,,,,,,,,,,
3715,,"100,00 %", Spain,Valencia,182,60,,,,,,,,,,,
3029,,"100,00 %", Netherlands,Rockanje,181,12,,,,,,,,,,,
2724,,"100,00 %", Australia,North Ryde, NSW,180,,,,,,,,,,,
3665,,"100,00 %", Sweden,Stockholm,180,78,,,,,,,,,,,
3681,,"100,00 %", United States of America,Seattle,175,0,,,,,,,,,,,
2981,,"100,00 %", Belgium,Oostende,171,0,,,,,,,,,,,
2270,,"100,00 %", Saint Martin (FR),Simpson Bay,171,9,,,,,,,,,,,
3240,,"86,00 %", Netherlands,Huizen,169,22,,,,,,,,,,,
2726,,"100,00 %", United States of America,Seattle,169,0,,,,,,,,,,,
3965,,"100,00 %", Italy,Genoa,168,11,,,,,,,,,,,
3443,,"100,00 %", United States of America,Seattle,166,0,,,,,,,,,,,
2178,,"100,00 %", France,Rouen,163,0,,,,,,,,,,,
2737,,"100,00 %", Germany,Hamburg,162,1,,,,,,,,,,,
2831,,"96,00 %", Netherlands,Delft,162,0,,,,,,,,,,,
2602,,"100,00 %", Spain,Castelldefels,161,51,,,,,,,,,,,
3455,,"100,00 %", United States of America,Los Angeles,158,78,,,,,,,,,,,
2112,,"100,00 %", Netherlands,Harlingen,157,83,,,,,,,,,,,
3984,,"100,00 %", Norway,Tromsoe,156,28,,,,,,,,,,,
2489,,"100,00 %", Italy,Genoa,156,5,,,,,,,,,,,
3459,,"100,00 %", Belgium,Oostende,156,3,,,,,,,,,,,
2857,,"100,00 %", Canada,Vancouver,153,0,,,,,,,,,,,
2372,,"100,00 %", Canada,Vancouver,153,3,,,,,,,,,,,
2355,,"100,00 %", Sweden,Torslanda, Gothenburg ,151,,,,,,,,,,,
3632,,"100,00 %", Singapore,Singapore,151,2,,,,,,,,,,,
3392,,"100,00 %", Germany,Lienen,148,19,,,,,,,,,,,
3335,,"100,00 %", Netherlands,Genderen,146,48,,,,,,,,,,,
2029,,"91,00 %", Netherlands,Den Oever,145,74,,,,,,,,,,,
