ID;Status;Uptime;Country;Location;Ships;Distinct;Contributor
2213;;100 %; Unknown;Worldwide;4377;2436; 
2010;;100 %; Norway; ;3202;2318; 
2077;;100 %; Netherlands;Harderwijk;1009;66; 
2241;;100 %; Netherlands;Gouda;1008;225; 
3103;;100 %; Canada;Multiple Locations;809;0; 
3343;;100 %; Canada;Point Grey, BC;809;0; 
3438;;100 %; Netherlands;Amsterdam;803;224; 
2902;;100 %; Singapore;Singapore;732;96; 
2945;;100 %; Netherlands;Rotterdam;705;30; 
2141;;100 %; Norway;Multiple AIS stations;664;113; 
3131;;100 %; Greece;Elliniko;630;74; 
2145;;100 %; Belgium;Antwerp;605;260;Tresco Engineering
2517;;100 %; Brazil;Belem;602;335; 
2134;;100 %; United States of America;Fort Lauderdale, FL;580;109; 
2918;;100 %; Singapore;Singapore;558;42; 
3272;;100 %; Hong Kong;Tseung Kwan O;512;298; 
2323;;100 %; Netherlands;Marken;506;9; 
2435;;100 %; Netherlands;Katwijk;501;45; 
2097;;100 %; Netherlands;Hellevoetsluis;476;18;InterTransIS
3344;;100 %; Greece;Athens;469;2; 
2214;;100 %; Netherlands;Rotterdam;436;2; 
2459;;100 %; Netherlands;Edam;431;11; 
2118;;100 %; Greece;Alimos;419;2; 
2404;;100 %; Unknown;Roaming stations;418;153; 
3074;;100 %; Greece;Piraeus;411;0; 
2169;;100 %; Italy;La Spezia;409;125; 
2954;;100 %; France;Sophia Antipolis, MINES Paristech;385;80;MINES Paristech
2577;;100 %; Germany;Hamburg;384;19; 
3808;;100 %; Singapore;Singapore;379;67; 
3567;;100 %; Singapore;Singapore;376;70; 
2528;;100 %; United Arab Emirates;Abu Dhabi;371;293; 
2446;;100 %; Netherlands;IJmuiden;364;13; 
3332;;100 %; Russian Federation;Vladivostok;363;363; 
2997;;100 %; Singapore;Keppel Bay;358;19; 
2946;;100 %; Singapore;Singapore;355;1; 
3038;;100 %; Greece;Piraeus;355;0; 
2698;;90 %; Netherlands;Arnemuiden Oranjeplaat;354;59; 
3943;;100 %; Korea;Busan;340;202; 
3979;;100 %; Netherlands;Hellevoetsluis;336;11; 
2042;;100 %; Canada;Vancouver;322;17; 
2413;;100 %; Germany;Hamburg Alster;315;0;www.searoutes.com
3182;;96 %; United States of America;Seattle;313;44; 
2011;;100 %; Sweden;Gothenburg;300;0; 
2276;;100 %; Belgium;Schilde;298;6; 
2164;;100 %; Sweden;Goteborg, West Coast;298;0; 
2843;;100 %; United Kingdom;Gravesend;298;65; 
2236;;95 %; Netherlands;IJmuiden;288;5;SHIPM8
2292;;100 %; Belgium;Gent;286;199; 
3857;;100 %; Germany;Hamburg;284;0; 
2744;;100 %; United States of America;Seattle;283;10; 
2298;;100 %; Netherlands;Rotterdam;282;1; 
3040;;100 %; Netherlands;Ter Heijde;280;3; 
2484;;100 %; United States of America;Biscayne Bay PS - Miami FL;278;68;SEAiq
2488;;100 %; Netherlands;Oud-Beijerland;275;4; 
2475;;100 %; Netherlands;Poortugaal;274;2; 
3124;;100 %; Netherlands;Zierikzee;273;95; 
3016;;100 %; Indonesia;Jakarta;273;270; 
2036;;100 %; Germany;Hamburg;269;1; 
3270;;100 %; Sweden;Gothenburg - SW, Särö;265;24; 
2603;;100 %; Germany;Geesthacht;258;20; 
2468;;100 %; Netherlands;Rotterdam;257;17;InterTransIS
2662;;100 %; France;Le Havre;255;23; 
2672;;100 %; United States of America;Highlands;253;31; 
2987;;100 %; Netherlands;Vogelwaarde, Zeeland;252;43; 
2291;;100 %; Germany;Bremerhaven;251;18;North Sea Terminal Bremerhaven GmbH & Co.
2126;;100 %; Germany;Cologne;248;119; 
3731;;100 %; Netherlands;Rotterdam;247;3; 
2803;;100 %; Netherlands;Bergharen;246;23; 
3978;;100 %; United States of America;Mandeville, LA;239;239; 
3372;;100 %; Netherlands;Wijchen;238;24; 
2636;;100 %; Netherlands;IJmuiden;233;1; 
2182;;88 %; Canada;Vancouver;232;1; 
3700;;100 %; Netherlands;Emmeloord;229;32; 
2177;;100 %; Hong Kong;Kowloon;228;33; 
3116;;100 %; Netherlands;Amsterdam;228;2; 
2249;;100 %; United States of America;San Diego;226;97; 
2375;;100 %; Canada;Vancouver;226;1; 
2068;;100 %; Spain;Roaming station;222;6; 
2031;;100 %; Poland;Gdynia;222;43;SP2XDM
2405;;100 %; France;Cap Camarat;222;23; 
2146;;100 %; Spain;Palma de Mallorca;215;0; 
3917;;96 %; United States of America;Jersey City;208;14; 
3092;;100 %; United States of America;Bainbridge Island;205;4; 
3715;;100 %; Spain;Valencia;204;49; 
2047;;100 %; United States of America;Galveston Bay Texas;203;5; 
2344;;100 %; Slovenia;Koper;203;40; 
2638;;100 %; Australia;Manly;198;67; 
2353;;100 %; Taiwan (Province of China);Kaohsiung;196;196; 
2543;;100 %; Germany;Hamburg;195;0; 
3737;;97 %; Brazil;Rio de Janeiro;194;12; 
2624;;100 %; Spain;Las Palmas de Gran Canaria;192;29; 
2724;;99 %; Australia;North Ryde, NSW;192;37; 
2178;;100 %; France;Rouen;190;0; 
2338;;100 %; United Arab Emirates;Ansam;190;115; 
2261;;100 %; United States of America;Seattle;189;73; 
2619;;100 %; United States of America;Groves;189;189; 
2602;;100 %; Spain;Castelldefels;187;74; 
2032;;100 %; Greece;Athens;184;0; 
3836;;83 %; Indonesia;Batam;184;25; 
2762;;100 %; Singapore;Singapore;179;14; 
2878;;100 %; Germany;Friedrichsort;178;2; 
3046;;70 %; Taiwan (Province of China);Keelung, National Taiwan Ocean University;176;176; 
3240;;100 %; Netherlands;Huizen;175;21; 
3965;;100 %; Italy;Genoa;175;7; 
2737;;100 %; Germany;Hamburg;172;1; 
3974;;100 %; United States of America;Seattle;171;7; 
3681;;100 %; United States of America;Seattle;170;0; 
3537;;100 %; Poland;Bolesławiec;169;5; 
2397;;100 %; Denmark;Copenhagen;168;62; 
3665;;100 %; Sweden;Stockholm;168;67; 
3392;;100 %; Germany;Lienen;166;12; 
2112;;100 %; Netherlands;Harlingen;162;76; 
2088;;100 %; Singapore;Singapore;162;0; 
2726;;100 %; United States of America;Seattle;159;0; 
2489;;100 %; Italy;Genoa;159;5; 
3156;;100 %; Greece;Athens;159;2; 
3443;;100 %; United States of America;Seattle;158;0; 
2281;;100 %; Portugal;Sines;158;119; 
2826;;95 %; Unknown;Roaming station;158;155; 
2355;;100 %; Sweden;Torslanda, Gothenburg ;155;20; 
2326;;100 %; Japan;Sumoto;154;144; 
2372;;100 %; Canada;Vancouver;154;0; 
2771;;100 %; Netherlands;West-Terschelling;153;103;Maritime Institute Willem Barentsz
3634;;99 %; Italy;Udine;152;19; 
3142;;100 %; Unknown;Roaming station;150;1; 
2831;;99 %; Netherlands;Delft;149;0; 
3023;;100 %; Netherlands;Rozenburg;148;2; 
3322;;100 %; Korea;Busan;147;9; 
3012;;90 %; Turkey;Istanbul;146;144; 
2270;;100 %; Saint Martin (FR);Simpson Bay;143;59; 
2087;;100 %; Germany;Duisburg;142;116; 
2384;;100 %; Norway;Kristiansund;142;18; 
2523;;100 %; Netherlands;Middenbeemster;141;0; 
2029;;100 %; Netherlands;Den Oever;141;41; 
2335;;100 %; France;Le Havre;141;0; 
2076;;100 %; Spain;Murcia;140;105;Localiz
3673;;99 %; Spain;Barcelona;140;44; 
2940;;99 %; Australia;Thornlands, Queensland;138;26; 
3428;;100 %; Spain;Valencia;138;0; 
2443;;100 %; Netherlands;Julianadorp;137;70; 
2221;;100 %; Norway;Stavanger;137;18; 
2305;;100 %; United States of America;Florida, Fort Lauderdale;137;1; 
2857;;100 %; Canada;Vancouver;136;0; 
2981;;100 %; Belgium;Oostende;135;9; 
3984;;100 %; Norway;Tromsoe;135;38; 
2018;;100 %; United Kingdom;Cowes;134;33; 
2093;;100 %; France;Rouen;134;8; 
3455;;100 %; United States of America;Los Angeles;133;81; 
2505;;100 %; Sweden;Göteborg;131;0; 
3168;;100 %; Poland;Gdańsk;130;4; 
3824;;100 %; United States of America;Miami, FL;130;1; 
3616;;100 %; Netherlands;Vlissingen;130;1; 
2747;;100 %; Germany;Wilhelmshaven;130;3; 
3168;;100 %; Poland;Gdańsk;130;4; 
2127;;100 %; Netherlands;Rotterdam;129;0; 
2548;;100 %; Netherlands;Poortugaal;129;0; 
3358;;100 %; Sweden;Gothenburg;129;0; 
2799;;89 %; Indonesia;Jepara;129;121; 
2037;;100 %; France;France;129;15; 
2102;;100 %; France;Antibes;128;2; 
2770;;100 %; New Zealand;Marlborough Sounds;126;108; 
2963;;100 %; United States of America;Anacortes, WA;126;26;CleverKathy Designs
2426;;100 %; United States of America;San Francisco Bay;124;24; 
3376;;100 %; United States of America;San Francisco;124;34; 
3933;;100 %; United Kingdom;Bursledon, Solent;121;4; 
2388;;100 %; Finland;Finland;121;73;Pocket Mariner
2610;;100 %; Germany;Kiel;120;29; 
2035;;100 %; United States of America;Seattle;120;111;Shine Micro
3299;;100 %; Netherlands;Zwijndrecht;119;18; 
2278;;100 %; Argentina;Mar del Plata;119;119; 
2117;;100 %; Indonesia;Bintulu, Sarawak;117;117; 
2512;;100 %; Canada;Quadra Island;115;58; 
3317;;100 %; Netherlands;Veere;115;4;Marina Veere B.V.
3135;;100 %; Netherlands;Koog aan de Zaan;115;3; 
3335;;85 %; Netherlands;Genderen;114;44; 
2559;;100 %; Netherlands;Nijmegen;114;5; 
2886;;100 %; Netherlands;Maassluis;113;1; 
2692;;10 %; Singapore;Pasir Ris;112;39; 
2708;;100 %; United Kingdom;Fareham;111;7; 
2597;;100 %; United States of America;San Pedro;111;23; 
2350;;100 %; Netherlands;Delfzijl;111;76; 
2950;;100 %; United States of America;Anacortes, WA;109;7; 
2817;;100 %; Netherlands;WSV de Kogge;109;31; 
2975;;100 %; Turkey;Fethiye;107;101; 
2718;;100 %; Unknown;Roaming station;107;49; 
3203;;94 %; Greece;Athens;106;3; 
2922;;100 %; Spain;Alcaidesa;106;71; 
2607;;100 %; Unknown;Roaming station;106;11; 
2139;;100 %; Denmark;Islands Brygge;105;33; 
2460;;100 %; Denmark;Nivå;105;6; 
3198;;100 %; Norway;Jeloy, Moss;105;7; 
2652;;100 %; Germany;Hamburg;104;0; 
3423;;100 %; Germany;Oldendorf;104;27; 
