ID,Status,Uptime,Country,Location,Ships,Distinct,Contributor,,
2213,,"100,00 %", Unknown,Worldwide,3738,1969, ,,
2010,,"100,00 %", Norway, ,3130,2249, ,,
2077,,"100,00 %", Netherlands,Harderwijk,1008,57, ,,
2241,,"100,00 %", Netherlands,Gouda,976,232, ,,
3438,,"100,00 %", Netherlands,Amsterdam,788,220, ,,
2902,,"100,00 %", Singapore,Singapore,752,70, ,,
2945,,"100,00 %", Netherlands,Rotterdam,720,33, ,,
3103,,"100,00 %", Canada,Multiple Locations,690,0, ,,
3343,,"100,00 %", Canada,Point Grey, BC,690,0, ,
3131,,"100,00 %", Greece,Elliniko,605,54, ,,
2918,,"100,00 %", Singapore,Singapore,581,36, ,,
2134,,"100,00 %", United States of America,Fort Lauderdale, FL,544,234, ,
2145,,"100,00 %", Belgium,Antwerp,541,252,Tresco Engineering,,
2404,,"100,00 %", Unknown,Roaming stations,523,91, ,,
3272,,"100,00 %", Hong Kong,Tseung Kwan O,521,302, ,,
2323,,"100,00 %", Netherlands,Marken,500,9, ,,
2946,,"100,00 %", Singapore,Singapore,489,8, ,,
3344,,"100,00 %", Greece,Athens,485,9, ,,
2097,,"100,00 %", Netherlands,Hellevoetsluis,477,15,InterTransIS,,
2214,,"100,00 %", Netherlands,Rotterdam,454,1, ,,
2118,,"100,00 %", Greece,Alimos,435,1, ,,
3567,,"100,00 %", Singapore,Singapore,432,83, ,,
2997,,"100,00 %", Singapore,Keppel Bay,416,19, ,,
2459,,"100,00 %", Netherlands,Edam,387,11, ,,
2550,,"76,00 %", Singapore,Singapore,374,17, ,,
3979,,"100,00 %", Netherlands,Hellevoetsluis,372,5, ,,
2577,,"100,00 %", Germany,Hamburg,364,27, ,,
2698,,"100,00 %", Netherlands,Arnemuiden Oranjeplaat,360,72, ,,
3808,,"100,00 %", Singapore,Singapore,357,63, ,,
3332,,"100,00 %", Russian Federation,Vladivostok,356,355, ,,
2236,,"100,00 %", Netherlands,IJmuiden,356,10,SHIPM8,,
2446,,"100,00 %", Netherlands,IJmuiden,355,3, ,,
2141,,"100,00 %", Norway,Multiple AIS stations,343,97, ,,
2803,,"100,00 %", Netherlands,Bergharen,327,46, ,,
3038,,"100,00 %", Greece,Piraeus,326,0, ,,
3943,,"100,00 %", Korea,Busan,325,199, ,,
3182,,"94,00 %", United States of America,Seattle,316,40, ,,
2011,,"100,00 %", Sweden,Gothenburg,311,0, ,,
2164,,"100,00 %", Sweden,Goteborg, West Coast,309,0, ,
3074,,"100,00 %", Greece,Piraeus,304,0, ,,
3124,,"100,00 %", Netherlands,Zierikzee,300,82, ,,
2744,,"87,00 %", United States of America,Seattle,300,15, ,,
2413,,"100,00 %", Germany,Hamburg Alster,296,0,www.searoutes.com,,
2954,,"100,00 %", France,Sophia Antipolis, MINES Paristech,296,93,MINES Paristech,
3016,,"100,00 %", Indonesia,Jakarta,290,276, ,,
2475,,"100,00 %", Netherlands,Poortugaal,287,1, ,,
2843,,"99,00 %", United Kingdom,Gravesend,285,51, ,,
2488,,"100,00 %", Netherlands,Oud-Beijerland,280,13, ,,
2298,,"100,00 %", Netherlands,Rotterdam,278,1, ,,
2636,,"100,00 %", Netherlands,IJmuiden,276,0, ,,
2249,,"100,00 %", United States of America,San Diego,269,120, ,,
3270,,"100,00 %", Sweden,Gothenburg - SW, Särö,269,24, ,
2475,,"100,00 %", Netherlands,Poortugaal,268,2, ,,
2298,,"100,00 %", Netherlands,Rotterdam,267,1, ,,
3857,,"100,00 %", Germany,Hamburg,257,0, ,,
3731,,"100,00 %", Netherlands,Rotterdam,252,2, ,,
2276,,"100,00 %", Belgium,Schilde,251,12, ,,
3372,,"99,00 %", Netherlands,Wijchen,246,25, ,,
2036,,"100,00 %", Germany,Hamburg,246,1, ,,
2068,,"100,00 %", Spain,Roaming station,237,7, ,,
2292,,"100,00 %", Belgium,Gent,234,146, ,,
2177,,"100,00 %", Hong Kong,Kowloon,232,30, ,,
2603,,"100,00 %", Germany,Geesthacht,232,21, ,,
2126,,"100,00 %", Germany,Cologne,231,131, ,,
2047,,"100,00 %", United States of America,Galveston Bay Texas,230,6, ,,
3116,,"100,00 %", Netherlands,Amsterdam,230,0, ,,
2042,,"100,00 %", Canada,Vancouver,226,11, ,,
2169,,"100,00 %", Italy,La Spezia,223,75, ,,
2146,,"100,00 %", Spain,Palma de Mallorca,223,0, ,,
2376,,"100,00 %", Unknown,Roaming Station,222,10, ,,
2672,,"100,00 %", United States of America,Highlands,218,27, ,,
2517,,"100,00 %", Brazil,Belem,218,196, ,,
2662,,"100,00 %", France,Le Havre,211,25, ,,
2435,,"100,00 %", Netherlands,Katwijk,211,28, ,,
2031,,"100,00 %", Poland,Gdynia,208,31,SP2XDM,,
2528,,"100,00 %", United Arab Emirates,Abu Dhabi,206,154, ,,
2987,,"97,00 %", Netherlands,Vogelwaarde, Zeeland,206,38, ,
2353,,"100,00 %", Taiwan (Province of China),Kaohsiung,206,206, ,,
3917,,"100,00 %", United States of America,Jersey City,201,18, ,,
2638,,"100,00 %", Australia,Manly,199,70, ,,
2724,,"100,00 %", Australia,North Ryde, NSW,198,15, ,
2375,,"100,00 %", Canada,Vancouver,197,6, ,,
2261,,"100,00 %", United States of America,Seattle,193,74, ,,
2619,,"100,00 %", United States of America,Groves,192,12, ,,
3092,,"100,00 %", United States of America,Bainbridge Island,191,4, ,,
2468,,"100,00 %", Netherlands,Rotterdam,190,18,InterTransIS,,
3737,,"97,00 %", Brazil,Rio de Janeiro,188,188, ,,
3715,,"100,00 %", Spain,Valencia,184,46, ,,
3974,,"100,00 %", United States of America,Seattle,180,7, ,,
2762,,"100,00 %", Singapore,Singapore,178,7, ,,
2624,,"100,00 %", Spain,Las Palmas de Gran Canaria,173,74, ,,
3665,,"100,00 %", Sweden,Stockholm,173,34, ,,
2326,,"100,00 %", Japan,Sumoto,173,168, ,,
2543,,"100,00 %", Germany,Hamburg,172,1, ,,
3443,,"100,00 %", United States of America,Seattle,167,0, ,,
2878,,"100,00 %", Germany,Friedrichsort,167,3, ,,
3012,,"80,00 %", Turkey,Istanbul,166,166, ,,
3700,,"100,00 %", Netherlands,Emmeloord,166,16, ,,
3965,,"100,00 %", Italy,Genoa,163,25, ,,
2726,,"100,00 %", United States of America,Seattle,162,0, ,,
2726,,"100,00 %", United States of America,Seattle,162,0, ,,
3681,,"100,00 %", United States of America,Seattle,161,0, ,,
2088,,"95,00 %", Singapore,Singapore,161,0, ,,
2344,,"100,00 %", Slovenia,Koper,161,51, ,,
3203,,"94,00 %", Greece,Athens,160,6, ,,
3392,,"100,00 %", Germany,Lienen,160,22, ,,
3537,,"100,00 %", Poland,Bolesławiec,158,4, ,,
2981,,"100,00 %", Belgium,Oostende,157,14, ,,
2338,,"100,00 %", United Arab Emirates,Ansam,157,106, ,,
2737,,"100,00 %", Germany,Hamburg,157,1, ,,
2029,,"100,00 %", Netherlands,Den Oever,157,37, ,,
2826,,"96,00 %", Unknown,Roaming station,155,152, ,,
3240,,"100,00 %", Netherlands,Huizen,153,22, ,,
3156,,"100,00 %", Greece,Athens,152,2, ,,
2602,,"100,00 %", Spain,Castelldefels,151,57, ,,
2281,,"100,00 %", Portugal,Sines,150,106, ,,
2940,,"99,00 %", Australia,Thornlands, Queensland,146,32, ,
2355,,"100,00 %", Sweden,Torslanda, Gothenburg ,144,15, ,
2221,,"100,00 %", Norway,Stavanger,143,19, ,,
