ID,Status,Uptime,Country,Location,Ships,Distinct,Contributor
2213,,100 %,ÿUnknown,Worldwide,4749,2404, 
2010,,99 %,ÿNorway, ,3252,2469, 
2077,,99 %,ÿNetherlands,Harderwijk,1074,51, 
2241,,100 %,ÿNetherlands,Gouda,882,161, 
3438,,100 %,ÿNetherlands,Amsterdam,790,260, 
2945,,98 %,ÿNetherlands,Rotterdam,784,37, 
2549,,92 %,ÿNetherlands,Zoetermeer,747,2, 
3103,,100 %,ÿCanada,Multiple Locations,721,0, 
3343,,100 %,ÿCanada,"Point Grey, BC",720,0, 
2902,,100 %,ÿSingapore,Singapore,706,68, 
2141,,100 %,ÿNorway,Multiple AIS stations,673,130, 
2459,,99 %,ÿNetherlands,Edam,652,13, 
3131,,100 %,ÿGreece,Elliniko,616,72, 
2134,,100 %,ÿUnited States of America,"Fort Lauderdale, FL",589,105, 
2097,,100 %,ÿNetherlands,Hellevoetsluis,587,14,InterTransIS
2145,,100 %,ÿBelgium,Antwerp,561,236,Tresco Engineering
2946,,100 %,ÿSingapore,Singapore,542,18, 
2918,,100 %,ÿSingapore,Singapore,524,34, 
3272,,100 %,ÿHong Kong,Tseung Kwan O,524,341, 
2435,,100 %,ÿNetherlands,Katwijk,521,51, 
3567,,100 %,ÿSingapore,Singapore,490,135, 
2404,,100 %,ÿUnknown,Roaming stations,479,75, 
2214,,99 %,ÿNetherlands,Rotterdam,478,1, 
3344,,93 %,ÿGreece,Athens,475,10, 
3808,,100 %,ÿSingapore,Singapore,435,77, 
3074,,100 %,ÿGreece,Piraeus,387,2, 
2118,,100 %,ÿGreece,Alimos,387,2, 
3943,,100 %,ÿKorea,Busan,384,259, 
3979,,100 %,ÿNetherlands,Hellevoetsluis,379,8, 
2577,,100 %,ÿGermany,Hamburg,374,20, 
2488,,100 %,ÿNetherlands,Oud-Beijerland,372,14, 
3332,,100 %,ÿRussian Federation,Vladivostok,358,358, 
2446,,100 %,ÿNetherlands,IJmuiden,357,15, 
2323,,100 %,ÿNetherlands,Marken,356,2, 
2843,,100 %,ÿUnited Kingdom,Gravesend,323,55, 
2698,,100 %,ÿNetherlands,Arnemuiden Oranjeplaat,320,56, 
2011,,100 %,ÿSweden,Gothenburg,310,0, 
2164,,100 %,ÿSweden,"Goteborg, West Coast",309,0, 
3016,,100 %,ÿIndonesia,Jakarta,302,297, 
3182,,100 %,ÿUnited States of America,Seattle,298,32, 
2650,,96 %,ÿUnited States of America,"Sabine Pass, TX",297,102, 
2987,,100 %,ÿNetherlands,"Vogelwaarde, Zeeland",297,48, 
2954,,100 %,ÿFrance,"Sophia Antipolis, MINES Paristech",291,133,MINES Paristech
2413,,96 %,ÿGermany,Hamburg Alster,288,1,www.searoutes.com
2126,,100 %,ÿGermany,Cologne,287,200, 
3372,,82 %,ÿNetherlands,Wijchen,286,47, 
3731,,100 %,ÿNetherlands,Rotterdam,285,3, 
3270,,100 %,ÿSweden,"Gothenburg - SW, S„r”",281,29, 
2599,,53 %,ÿNetherlands,Zwijndrecht,279,8, 
2744,,100 %,ÿUnited States of America,Seattle,278,11, 
2744,,100 %,ÿUnited States of America,Seattle,278,10, 
2987,,100 %,ÿNetherlands,"Vogelwaarde, Zeeland",276,49, 
3046,,100 %,ÿTaiwan (Province of China),"Keelung, National Taiwan Ocean University",272,272, 
2292,,100 %,ÿBelgium,Gent,267,164, 
3978,,100 %,ÿUnited States of America,"Mandeville, LA",265,264, 
2298,,99 %,ÿNetherlands,Rotterdam,264,1, 
2484,,100 %,ÿUnited States of America,Biscayne Bay PS - Miami FL,264,70,SEAiq
2276,,100 %,ÿBelgium,Schilde,260,5, 
2603,,22 %,ÿGermany,Geesthacht,259,25, 
3857,,100 %,ÿGermany,Hamburg,259,1, 
2291,,100 %,ÿGermany,Bremerhaven,258,16,North Sea Terminal Bremerhaven GmbH & Co.
2169,,84 %,ÿItaly,La Spezia,257,96, 
3040,,100 %,ÿNetherlands,Ter Heijde,256,12, 
2068,,100 %,ÿSpain,Roaming station,251,9, 
2997,,100 %,ÿSingapore,Keppel Bay,247,7, 
3423,,100 %,ÿGermany,Oldendorf,244,43, 
2326,,100 %,ÿJapan,Sumoto,242,233, 
2182,,78 %,ÿCanada,Vancouver,241,3, 
2475,,100 %,ÿNetherlands,Poortugaal,238,0, 
2662,,100 %,ÿFrance,Le Havre,238,19, 
3313,,91 %,ÿNetherlands,Rotterdam,233,0, 
2261,,100 %,ÿUnited States of America,Seattle,232,86, 
2146,,98 %,ÿSpain,Palma de Mallorca,231,2, 
3520,,76 %,ÿTurkey,Kadikoy,228,183, 
3124,,100 %,ÿNetherlands,Zierikzee,228,75, 
2236,,100 %,ÿNetherlands,IJmuiden,225,3,SHIPM8
2042,,100 %,ÿCanada,Vancouver,223,9, 
2636,,100 %,ÿNetherlands,IJmuiden,222,3, 
3737,,100 %,ÿBrazil,Rio de Janeiro,222,222, 
3836,,24 %,ÿIndonesia,Batam,220,41, 
