MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
338796000,2024-09-29T00:00:00,34.06785,-125.35379,11.9,101.0,99.0,MATSONIA,IMO9814612,KIAB,74.0,0.0,265.0,35.0,10.6,74.0,A
316035905,2024-09-29T00:00:03,41.45602,-82.73171,1.2,176.8,123.0,ALGOMA INNOVATOR,IMO9773375,VDAS,70.0,0.0,198.0,24.0,7.5,70.0,A
366014000,2024-09-29T00:00:00,29.15019,-90.19913,0.0,342.6,252.0,ODYSSEA KNIGHT,IMO9302279,KBAF,70.0,0.0,74.0,16.0,4.0,70.0,A
357076000,2024-09-29T00:00:01,29.89444,-125.88413,16.7,112.8,113.0,MORNING CHERRY,IMO9675585,3FOD5,70.0,0.0,199.0,35.0,9.9,70.0,A
311072400,2024-09-29T00:00:04,34.48466,-125.1556,11.9,91.2,91.0,RCC COMPASS,IMO9441611,C6ZY8,70.0,0.0,200.0,32.0,9.9,70.0,A
311000458,2024-09-29T00:00:03,31.21652,-116.97453,2.1,144.4,43.0,GLOVIS SIGMA,IMO9736810,C6CF6,70.0,0.0,200.0,36.0,10.0,70.0,A
636092750,2024-09-29T00:00:02,37.17868,-76.15426,8.0,174.0,174.0,RICHARD OLDENDORFF,IMO9462366,D5JW3,70.0,0.0,260.0,43.0,14.3,70.0,A
368013860,2024-09-29T00:00:03,41.09989,-70.9438,0.0,41.8,309.0,PAUL CANDIES,IMO9679725,WDJ8177,70.0,0.0,101.0,21.0,5.9,70.0,A
352003653,2024-09-29T00:00:03,29.7281,-125.06802,10.1,296.0,298.0,ATLANTIC HALO,IMO9991070,3E4777,70.0,0.0,180.0,32.0,10.5,70.0,A
636092712,2024-09-29T00:00:04,30.71542,-79.68052,16.1,147.8,157.0,SEATRADE WHITE,IMO9756092,D5LS2,79.0,0.0,185.0,30.0,8.4,79.0,A
367050160,2024-09-29T00:00:02,46.69989,-92.01859,0.0,179.9,181.0,BURNS HARBOR,IMO7514713,WDC6027,70.0,0.0,330.0,34.0,7.2,70.0,A
636024330,2024-09-29T00:00:05,37.25686,-122.65389,10.0,357.6,355.0,HMM TOPAZ,IMO9955284,5LSB8,70.0,0.0,336.0,51.0,11.6,70.0,A
366904930,2024-09-29T00:00:04,43.06242,-82.41558,10.9,185.0,184.0,HERBERT C JACKSON,IMO5148417,WL3972,70.0,0.0,213.0,23.0,7.8,70.0,A
431792000,2024-09-29T00:00:00,40.68581,-70.96444,1.1,275.2,12.0,ONE FALCON,IMO9741425,7KGU,70.0,0.0,364.0,51.0,15.0,70.0,A
316014170,2024-09-29T00:00:03,46.26178,-84.18688,7.2,147.7,153.0,EVANS SPIRIT,IMO9327774,XJBZ,79.0,0.0,140.0,20.0,7.9,70.0,A
563061300,2024-09-29T00:00:03,37.76859,-122.63108,12.7,255.6,259.0,ONE ORPHEUS,IMO9313008,9V5999,70.0,0.0,336.0,46.0,12.0,70.0,A
366971330,2024-09-29T00:00:06,41.97028,-80.54849,0.0,153.2,349.0,EDGAR B SPEER,IMO7625952,WDH7562,79.0,0.0,306.0,32.0,7.3,79.0,A
305684000,2024-09-29T00:00:04,34.943,-124.12147,17.5,280.9,284.0,COPENHAGEN,IMO9457115,V2FI5,70.0,0.0,108.0,16.0,8.2,79.0,A
538007623,2024-09-29T00:00:05,30.05404,-90.49418,0.0,345.8,262.0,ODYSSEAS,IMO9595187,V7XM6,70.0,5.0,186.0,28.0,6.1,70.0,A
636019582,2024-09-29T00:00:07,36.81774,-75.06461,1.5,68.5,301.0,MSC ARICA,IMO9619452,D5VE2,70.0,0.0,299.0,48.0,11.5,79.0,A
356590000,2024-09-29T00:00:01,37.83709,-76.16236,12.5,10.7,10.0,UNITED ADVENTURE,IMO9465215,3EXX6,70.0,0.0,292.0,45.0,8.9,70.0,A
366938780,2024-09-29T00:00:00,45.41138,-83.78536,0.0,237.3,56.0,JOHN J BOLAND,IMO7318901,WZE4539,70.0,0.0,207.0,24.0,8.2,70.0,A
372264000,2024-09-29T00:00:02,30.6359,-123.38513,11.8,131.2,132.0,SPIRIT OF HO-PING,IMO9433638,HPGK,70.0,0.0,229.0,32.0,11.7,70.0,A
374069000,2024-09-29T00:00:01,37.809,-76.17269,18.0,4.7,5.0,VICTORIA HIGHWAY,IMO9827255,3FZQ2,70.0,0.0,199.0,37.0,10.0,70.0,A
311000906,2024-09-29T00:00:07,17.28965,-66.91652,12.6,47.3,47.0,ALGOMA VALOUR,IMO9120334,C6EI7,70.0,0.0,225.0,32.0,10.0,70.0,A
305291000,2024-09-29T00:00:01,25.98985,-79.90026,12.8,129.3,137.0,K-BREEZE,IMO9389423,V2DP4,70.0,0.0,139.0,22.0,6.9,70.0,A
477866300,2024-09-29T00:00:03,34.30022,-120.43314,15.2,102.1,103.0,SEASPAN KOBE,IMO9492701,VRHY6,70.0,0.0,268.0,35.0,11.7,79.0,A
305157000,2024-09-29T00:00:08,29.74728,-95.17831,0.1,257.4,80.0,INDUSTRIAL CHARGER,IMO9213959,V2HH9,79.0,0.0,120.0,20.0,5.5,71.0,A
367612310,2024-09-29T00:00:01,28.96041,-90.23228,9.1,29.5,23.0,HOS BLACK FOOT,IMO9647693,WDH3920,70.0,0.0,100.0,15.0,4.4,70.0,A
316009457,2024-09-29T00:00:02,45.81795,-83.72412,11.0,137.1,137.0,KAMINISTIQUA,IMO8119285,CFN4612,70.0,9.0,223.0,23.0,8.1,70.0,A
316036089,2024-09-29T00:00:00,44.84914,-82.86052,12.8,159.2,159.0,ALGOMA SAULT,IMO9619282,VBCD,70.0,8.0,226.0,24.0,8.1,70.0,A
369390000,2024-09-29T00:00:01,30.70256,-79.83969,13.1,193.4,195.0,MAERSK TENNESSEE,IMO9314210,VROX9,71.0,0.0,292.0,33.0,10.6,71.0,A
244810418,2024-09-29T00:00:01,32.84115,-118.03445,16.1,172.2,175.0,EEMSLIFT NADINE,IMO9671436,PBDH,79.0,0.0,111.0,17.0,5.0,79.0,A
367602790,2024-09-29T00:00:05,28.81228,-93.90496,8.8,213.9,511.0,HANNAH C,IMO9095096,WDH2947,70.0,0.0,48.0,12.0,3.0,70.0,A
548998000,2024-09-29T00:00:04,25.51005,-79.52309,11.3,189.1,190.0,WESTERN SANTIAGO,IMO9838503,DUKW,70.0,0.0,200.0,32.0,12.1,70.0,A
209513000,2024-09-29T00:00:00,26.18952,-79.69056,31.3,254.1,248.0,JAUME II,IMO9116113,5BED5,70.0,0.0,169.0,26.0,3.4,49.0,A
371908000,2024-09-29T00:00:06,39.13286,-73.70785,12.9,355.9,355.0,MSC SILVANA,IMO9309459,3EEI3,70.0,0.0,332.0,43.0,12.7,70.0,A
636092824,2024-09-29T00:00:04,29.34416,-94.74608,11.5,266.4,265.0,AS SVENJA,IMO9410284,D5PZ2,72.0,0.0,175.0,28.0,6.9,71.0,A
235010450,2024-09-29T00:00:02,26.07913,-128.6351,18.0,287.0,288.0,EVER SMART,IMO9300403,MLBD9,74.0,0.0,300.0,43.0,11.2,74.0,A
636018831,2024-09-29T00:00:06,46.20203,-123.82067,0.1,201.5,53.0,IOANNIS K,IMO9706774,D5RO9,70.0,1.0,229.0,32.0,7.0,70.0,A
636019441,2024-09-29T00:00:00,36.90233,-75.89159,12.2,317.2,317.0,POLYDEFKIS,IMO9843417,D5UN7,70.0,0.0,229.0,32.0,7.4,70.0,A
316044371,2024-09-29T00:00:04,42.89934,-79.24588,0.0,189.2,188.0,HARVEST SPIRIT,IMO9655951,VDAY,70.0,0.0,152.0,22.0,8.0,70.0,A
538010087,2024-09-29T00:00:00,49.30274,-123.29529,12.0,223.7,225.0,CLIPPER NASSAU,IMO9474204,V7A5580,70.0,1.0,180.0,30.0,10.3,70.0,A
