,Port,Major/Minor ports,Port hub,Region/State,id_Port
0,Aberdeen,Major port,Scotland East Coast,Scotland,0
1,Appledore,Minor port,Bristol Channel,,1
2,Ardrishaig,Minor port,Scotland West Coast,,2
3,Ayr,Minor port,Scotland West Coast,,3
4,Barrow,Minor port,Lancs and Cumbria,,4
5,Barry,Minor port,Bristol Channel,,5
6,Belfast,Major port,Northern Ireland,Northern Ireland,6
7,Berwick-On-Tweed,Minor port,North East,,7
8,Bideford,Minor port,Bristol Channel,,8
9,Blyth,Minor port,North East,,9
10,Boston,Major port,Wash & Northern E Anglia,England,10
11,Bridgwater,Minor port,Bristol Channel,,11
12,Brightlingsea,Minor port,Thames and Kent,,12
13,Bristol,Major port,Bristol Channel,England,13
14,Buckie,Minor port,Scotland East Coast,,14
15,Burry Port,Minor port,Bristol Channel,,15
16,Cairnryan,Major port,Scotland West Coast,Scotland,16
17,Cardiff,Major port,Bristol Channel,Wales,17
18,Chichester,Minor port,Sussex and Hampshire,,18
19,Clyde,Major port,Scotland West Coast,Scotland,19
20,Coleraine,Minor port,Northern Ireland,,20
21,Corpach,Minor port,Scotland West Coast,,21
22,"Cowes, Isle of Wight",Minor port,Sussex and Hampshire,,22
23,Cromarty Firth,Major port,Scotland East Coast,Scotland,23
24,Dover,Major port,Thames and Kent,England,24
25,Dundee,Major port,Scotland East Coast,Scotland,25
26,Falmouth,Minor port,West Country,,26
27,Felixstowe,Major port,Haven,England,27
28,Fishguard,Major port,West and North Wales,Wales,28
29,Fleetwood,Major port,Lancs and Cumbria,,29
30,Forth,Major port,Scotland East Coast,Scotland,30
31,Fowey,Major port,West Country,England,31
32,Fraserburgh,Minor port,Scotland East Coast,,32
33,Garston,Minor port,Lancs and Cumbria,,33
34,Gill's Bay Scotland,Minor port,Scotland East Coast,,34
35,Glensanda,Major port,Scotland West Coast,Scotland,35
36,Goole,Major port,Humber,England,36
37,Great Yarmouth,Major port,Wash & Northern E Anglia,England,37
38,Grimsby & Immingham,Major port,Humber,England,38
39,Harwich,Major port,Haven,England,39
40,Heysham,Major port,Lancs and Cumbria,England,40
41,Holyhead,Major port,West and North Wales,Wales,41
42,Hughtown (St Mary's),Minor port,West Country,,42
43,Hull,Major port,Humber,England,43
44,Inverkeithing,Minor port,Scotland East Coast,,44
45,Inverness,Minor port,Scotland East Coast,,45
46,Ipswich,Major port,Haven,,46
47,Kilroot,Minor port,Northern Ireland,,47
48,Kilroot Power Station Jetty,Major port,Northern Ireland,Northern Ireland,48
49,King's Lynn,Minor port,Wash & Northern E Anglia,,49
50,Lancaster,Minor port,Lancs and Cumbria,,50
51,Larne,Major port,Northern Ireland,Northern Ireland,51
52,Lerwick,Minor port,Scotland East Coast,,52
53,Littlehampton,Minor port,Sussex and Hampshire,,53
54,Liverpool,Major port,Lancs and Cumbria,England,54
55,Llandulas,Minor port,West and North Wales,,55
56,Loch Ryan,Major port,Scotland West Coast,Scotland,56
57,London,Major port,Thames and Kent,,57
58,Londonderry,Major port,Northern Ireland,Northern Ireland,58
59,Lowestoft,Minor port,Wash & Northern E Anglia,,59
60,Manchester,Major port,Lancs and Cumbria,England,60
61,Medway,Major port,Thames and Kent,England,61
62,Milford Haven,Major port,West and North Wales,Wales,62
63,Mistley,Minor port,Haven,,63
64,Montrose,Minor port,Scotland East Coast,,64
65,Mostyn,Minor port,West and North Wales,,65
