FK_Port,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,id_Port
Boston,847.184,765.628,1034.87,704.946,767.132,834.045,836.056,961.067,702.466,950.902,838.079,829.029,723.621,10
Bristol,10895.045,10083.423,11438.876,10759.172,11205.945,12261.08,11177.613,11527.442,8999.4,7271.926,8201.875,10761.938,10632.551,13
Dover,19073.725,20211.622,18795.663,20752.669,21145.187,23804.767,25144.184,24343.847,25086.986,24093.076,24251.423,22902.209,25294.752,24
Felixstowe,28353.531,25119.274,22282.379,23413.4579999999,23144.347,24369.7379999999,25685.3970000004,24988.19,24267.1450000001,25756.44,26816.6770000003,26268.4990000001,26214.0899999999,27
Fleetwood ,1607.977,1520.991,1624.187,1661.891,1635.135,1670.319,1771.882,1570.917,1327.262,1136.925,0.0,0.0,0.0,112
Fowey,1535.342,1453.187,1447.116,1330.411,1270.158,1102.991,1120.537,934.937,773.959,773.33,688.289,641.19,656.027,31
Goole,2633.452,2265.137,1913.46,2173.881,2622.839,2214.857,2280.909,2159.091,1635.168,1936.475,1847.556,1291.385,1376.772,36
Great Yarmouth,666.069,710.77,778.405,607.098,763.141,949.713,900.148,783.595,658.711,855.114,826.738,888.833,840.482,37
Grimsby & Immingham,54830.711,55731.288,55931.016,57615.871,60686.389,64032.925,66278.848,65267.304,54708.257,54029.312,57227.34,60090.768,62614.255,38
Harwich,2622.573,3495.334,4330.417,4264.181,4220.934,4175.952,3784.219,3738.625,2942.333,3140.68,3090.484,3189.288,3637.921,39
Heysham,3823.501,3705.388,4082.962,3539.386,3676.37,4014.018,3585.59,3185.421,3101.581,3461.048,4290.636,4035.118,3920.169,40
Hull,10585.613,10297.979,10528.802,12443.284,13362.582,12785.069,12497.167,12249.066,9770.592,9236.492,9286.209,10081.161,10909.59,43
Ipswich ,2923.963,3335.725,3888.275,3557.041,3578.382,3505.073,2796.858,2572.323,2814.014,2874.5,2544.389,2205.689,1689.444,113
Liverpool,30288.314,30412.703,31684.319,32232.889,33775.239,33550.138,32258.334,32204.156,29936.422,30019.803,32660.282,32924.01,31149.403,54
London ,50654.008,51185.0870000001,51027.6820000001,53289.4,53842.547,51910.6960000001,52739.3010000001,52965.384,45441.889,48062.452,48796.156,43741.855,43205.457,114
Manchester,7879.26,6279.353,6088.018,6634.166,7221.633,8048.799,8078.799,7438.38,6670.344,7083.521,7355.08,6438.417,7489.349,60
Medway,14852.59,14839.617,15618.891,14534.977,15470.188,18956.747,15416.843,14970.725,13149.583,13970.865,16076.167,12649.437,8384.377,61
Newhaven,997.6,862.622,949.411,929.069,876.335,1045.514,1002.989,1195.5,861.412,823.515,753.91,792.815,706.086,67
Plymouth,1877.374,1854.494,2053.149,2166.785,2308.166,2452.084,2485.507,2321.696,1944.244,2207.875,2140.691,2374.025,2161.453,76
Poole,1819.141,1798.352,1640.354,1754.492,1711.809,1806.382,1404.805,1517.901,1127.409,981.531,950.244,751.68,634.187,77
Portsmouth,4282.034,4365.039,4221.697,4939.596,4931.309,4205.233,3961.122,3937.317,3953.521,3717.893,3772.059,3486.744,3613.159,115
Ramsgate,1431.58,1848.206,1788.784,1701.805,1872.179,1703.595,2015.274,1968.175,1590.609,1738.502,1144.484,878.953,215.662,116
River Trent,2395.789,2345.647,2309.36,2328.844,1924.444,2061.56,2206.641,1984.323,1096.195,1360.975,1282.654,1244.03,1312.949,84
Rivers Hull & Humber,7845.541,8901.588,10024.564,9241.697,9842.671,9774.244,9369.811,9350.678,9465.554,10034.221,10187.005,10282.535,9674.426,117
Shoreham,1803.946,1785.966,1725.493,1686.253,1827.5,1797.404,1988.94,1791.573,1735.33,1851.467,2080.932,1903.473,1599.744,91
Southampton ,35689.032,34156.0119999999,35772.6100000001,38431.194,39946.502,40556.4410000001,43815.376,40974.163,37227.836,39365.274,37878.479,38107.3979999999,35796.826,93
Sunderland,1021.455,928.234,1019.92,1117.064,920.09,904.384,1023.61,804.631,651.336,407.047,503.629,455.293,596.261,97
Tees & Hartlepool,50841.608,50447.469,53842.332,53819.227,55789.7,53347.933,49779.396,45436.042,39163.069,35696.985,35197.505,33966.908,37640.558,118
Tyne,2468.886,2655.588,2763.47,2973.018,3357.449,4076.577,4613.344,5417.025,3540.096,3216.895,5331.814,6494.352,8115.605,104
Belfast,13402.468,12824.817,13201.409,13558.563,13499.787,13514.203,13416.379,13039.864,12049.511,12826.864,13561.273,15185.967,16783.067,6
Kilroot Power Station Jetty,1264.288,1053.604,1041.428,1114.398,976.836,1154.591,802.645,867.214,531.804,784.362,623.468,1039.084,1120.514,48
Larne,3519.739,4294.823,4319.454,4983.561,5495.94,5488.906,5463.552,5165.887,4297.283,4613.698,4394.995,2912.9,2368.656,51
Londonderry,1059.926,1064.775,1172.044,1391.79,1150.834,1689.717,1934.43,1839.35,1619.259,1756.539,1739.911,1659.078,1870.723,58
Warrenpoint,1480.397,1825.552,1879.509,1966.643,2436.483,2307.144,1999.054,2118.66,1840.575,2326.77,2425.483,2429.24,2706.768,106
Aberdeen,3845.418,3645.04,3232.778,3888.06,4609.221,4662.987,5131.286,4832.685,4570.061,4163.777,4164.585,4493.129,4263.475,0
Cairnryan,2014.228,2099.093,2327.709,2848.869,3273.933,3145.25,3163.177,2927.637,2571.913,2634.408,2932.447,2609.876,2364.488,16
Clyde,11068.826,9733.094,9214.234,11507.189,15737.447,14980.915,12063.071,14337.627,12552.124,12283.144,13431.297,15420.597,14782.51,19
Cromarty Firth,2144.692,2658.438,3500.865,3207.856,3325.197,3205.887,3502.343,2251.634,2864.039,3662.556,4020.198,2627.549,3378.193,23
Dundee,1100.906,1102.858,1016.166,1057.78,1221.759,1201.993,1034.842,978.168,809.942,962.368,928.662,842.036,815.39,25
Forth,41607.233,42201.756,38751.792,34892.053,34218.139,31555.968,36681.167,39054.087,36690.185,34335.476,27878.242,25332.392,26365.132,30
Glensanda,5470.854,5845.586,5322.386,5189.25,5438.707,6003.505,7050.397,6335.624,5590.653,5846.001,6059.939,5541.155,5745.99,35
Loch Ryan ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1814.879,2136.292,56
Orkney,18406.739,18812.232,14421.967,17933.829,14534.02,11248.892,10592.215,4789.445,3241.494,3244.433,2343.573,1728.67,1053.884,70
Peterhead,1339.258,1342.705,1050.515,675.904,928.246,946.779,789.729,871.248,796.58,1106.969,1053.82,1023.724,971.099,75
Stranraer ,1404.379,1273.199,1273.566,1277.165,1165.102,1221.804,1231.009,1190.167,1176.987,1017.4,985.521,0.0,0.0,95
Sullom Voe,31165.651,29375.706,26360.27,23939.42,20540.531,19447.448,16572.778,14539.481,11216.595,11270.451,10152.895,11398.192,6393.563,96
Cardiff,2739.0,2208.647,2287.0,2504.0,2450.0,2873.0,3057.0,2596.0,1992.0,2232.0,2025.384,1830.011,1712.0,17
Fishguard,341.396,408.242,473.862,521.846,513.325,596.803,571.543,559.917,366.211,416.407,344.504,335.173,341.956,28
Holyhead,3228.607,3288.271,3328.712,3945.425,4147.278,4152.711,3468.007,3419.438,2852.331,2657.8,3148.489,3087.289,3212.259,41
Milford Haven,33791.592,34543.239,32737.114,38451.871,37547.023,34307.238,35495.56,35874.821,39292.88,42787.892,48698.75,39831.517,41104.987,62
Newport,2980.209,3110.937,2790.3,3447.9,3970.964,3845.506,2843.1,3194.727,2733.936,2068.125,2443.98,2464.181,2442.281,68
Port Talbot,8271.0,4971.0,7819.0,8555.0,8573.0,8659.0,9052.0,8147.0,5156.0,8832.0,7056.0,5571.928,8476.683,79
Swansea,1261.0,1069.0,848.0,721.0,695.0,634.0,682.606,589.007,401.0,604.0,561.3,594.56,539.972,99
