Major Port,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,"2020 Q2 [Note 9]",2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1 [Note 10],2024 Q2 [Note 10],2024 Q3 [Note 10],id_Port
Aberdeen,1140.325,1172.594,1120.595,1136.547,931.783,1033.722,1127.055,1071.217,961.288,1097.075,1113.684,992.538,1033.64,1106.853,1210.868,1141.768,1062.952,1107.371,1099.964,993.188,942.813,1117.484,1091.423,1079.433,1052.556,1166.417,1138.994,1018.012,894.321,963.03,999.15,913.781,878.02,1007.757,1185.537,987.107,876.501,1061.238,1159.929,1040.056,970.634,1088.576,1093.285,1042.01,851.781,752.169,869.996,912.585,852.125,898.796,949.478,862.719,773.406,884.345,932.086,814.097,868.953,884.183,923.084,921.149,878.727,971.932,1004.027,0.0
Belfast,3007.988,2923.596,3037.229,3080.698,3223.432,3263.811,2976.258,3363.363,3347.717,3281.474,3315.232,3616.85,3785.259,3682.811,3774.673,3943.224,4288.757,3997.855,3962.932,4533.523,4240.935,4439.48,3971.987,4140.567,4102.048,4303.989,4128.295,4165.783,4465.651,4304.152,4284.367,4498.934,4558.663,4779.777,4186.318,4701.171,4911.525,4847.011,4365.883,4814.187,4811.561,4505.927,4484.579,4715.44,4843.398,4053.771,4681.831,4999.288,4803.049,4876.516,4928.398,5258.562,4993.255,4637.944,4292.184,4448.603,4593.817,4776.547,4723.277,4343.511,4434.969,4585.282,4527.047,6.0
Boston,177.881,175.47,171.46,177.655,178.704,263.838,263.546,244.814,204.218,205.124,218.902,209.835,233.279,223.935,176.793,195.022,180.132,187.071,171.446,184.972,211.246,214.93,207.845,190.2,206.261,223.185,212.113,210.892,185.145,205.712,261.486,197.179,206.572,196.736,172.0,163.104,177.887,178.009,166.523,188.871,200.617,189.74,210.475,220.666,203.025,151.375,189.254,217.562,226.484,222.431,219.195,173.486,149.541,187.041,157.514,155.948,176.201,212.643,167.867,183.472,167.234,169.722,184.702,10.0
Bristol,2687.937,2235.162,2209.382,1866.919,1675.43,1762.21,1705.781,2128.505,1568.309,2019.27,2078.639,2535.657,3041.493,2451.118,2807.441,2461.886,2795.332,2504.179,2677.087,2655.953,2992.571,2993.276,2468.053,2966.655,2896.055,1864.964,1933.596,2182.775,2335.875,2208.461,1740.466,2246.608,2105.045,2229.935,2181.46,2224.247,1990.707,2163.454,2166.837,2125.17,2124.341,1978.784,2001.241,2085.459,1923.817,1127.872,1619.718,1807.407,1774.746,1684.948,1960.175,1610.813,2032.451,2108.92,2378.459,2008.269,2144.524,2071.135,2176.56,2145.232,2144.668,1986.438,2232.115,13.0
Cairnryan,663.925,629.816,601.733,676.439,620.085,673.223,657.043,684.057,724.385,729.45,721.708,756.904,705.447,635.728,617.687,651.014,628.119,566.216,564.896,605.257,537.432,599.292,589.171,642.476,630.822,611.194,621.143,685.256,675.994,690.553,675.634,697.94,703.474,706.221,707.622,730.151,700.358,720.271,714.847,721.391,704.231,687.124,631.789,681.695,704.812,519.089,714.69,756.475,716.768,735.041,740.399,936.817,899.782,834.208,974.882,954.422,969.133,848.459,997.0,1019.248,1099.523,944.901,1001.767,16.0
Cardiff,548.0,500.0,471.0,473.0,615.0,541.0,525.0,551.0,606.933,487.133,443.208,488.11,440.253,469.253,475.253,445.252,517.0,396.0,387.0,412.0,434.0,404.0,456.0,437.0,438.0,460.0,420.0,473.0,442.0,385.0,363.0,414.0,395.0,379.0,375.0,424.539,448.394,435.957,421.085,464.426,441.661,456.681,441.756,356.91,372.497,257.008,362.071,341.845,318.124,454.488,386.836,413.192,360.609,345.529,352.926,258.028,280.295,279.666,289.05,256.604,292.886,391.177,420.131,17.0
Clyde,3593.497,2439.997,3082.532,3436.098,2789.874,2720.338,3162.194,3610.738,3318.912,3131.627,3526.172,3454.586,3967.229,4088.541,3462.292,3902.535,3233.525,4400.628,4064.651,3083.706,4146.192,3494.428,4148.878,4411.452,3476.372,2694.459,2935.348,3377.876,1878.571,2037.949,2407.652,2417.591,1750.641,2579.525,2250.968,2283.999,2433.448,1583.857,2475.613,2593.642,2363.618,1695.23,2252.787,2489.138,2621.212,1349.097,1353.318,1609.635,1878.489,1937.506,2770.208,1823.259,2395.316,2412.669,2409.513,2594.993,2317.318,1655.909,2222.714,2398.223,554.17,2119.972,2236.245,19.0
Cromarty Firth ,275.103,435.932,965.097,1187.907,1032.717,1030.789,902.295,696.755,898.269,1046.921,1063.496,1011.512,381.596,749.296,766.561,730.096,979.776,783.526,799.118,815.773,531.973,410.247,182.696,466.074,111.89,47.693,68.611,33.59,56.065,67.004,48.292,223.872,79.459,36.502,32.382,78.328,25.232,64.928,105.402,79.127,229.708,170.58,168.325,360.443,37.673,55.386,157.727,170.609,73.114,117.911,130.427,102.47,108.354,118.474,128.384,127.892,85.087,102.12,57.09,94.403,213.472,191.356,182.435,
Dover,6394.412,6285.151,6338.82,6068.603,6277.883,6198.134,5971.918,5645.141,6178.412,6188.177,6026.659,5858.175,5929.667,5552.525,5686.988,5733.029,6065.932,6429.082,6475.938,6323.8,6673.125,6878.311,7305.695,6748.027,7137.531,6874.102,6643.39,6644.441,6621.57,7725.044,6624.389,6355.177,6808.773,6640.816,6473.984,6299.132,6219.048,6514.491,6063.909,6145.07,6637.293,5650.246,5645.096,5499.978,5465.182,5060.195,5378.123,5985.394,4507.347,5129.415,5093.969,5143.118,4997.867,4372.717,4529.704,4469.004,4784.092,4911.469,4764.007,4765.844,4957.962,4981.353,4743.552,24.0
Dundee,211.559,154.143,224.851,219.389,221.484,259.775,238.021,243.088,162.353,251.623,271.428,243.258,215.777,216.312,227.529,182.418,224.228,166.185,302.162,122.815,144.371,114.864,138.008,119.962,135.461,138.919,107.123,133.405,116.226,124.657,140.798,151.889,132.81,149.288,150.583,133.68,157.314,133.025,133.428,183.787,130.7,125.022,125.222,122.506,98.484,101.274,109.22,121.511,112.107,111.17,113.127,115.136,126.833,124.759,166.393,116.933,118.032,106.733,131.784,107.322,107.51,149.276,124.047,25.0
