Port,key_1,Major/Minor ports,Port group,UK Country,id_Port
Aberdeen,0,Major port,Scotland East Coast,Scotland,0
Appledore,0,Minor port,Bristol Channel,,1
Ardrishaig,0,Minor port,Scotland West Coast,,2
Ayr,0,Minor port,Scotland West Coast,,3
Barrow,0,Minor port,Lancs and Cumbria,,4
Barry,0,Minor port,Bristol Channel,,5
Belfast,0,Major port,Northern Ireland,Northern Ireland,6
Berwick-On-Tweed,0,Minor port,North East,,7
Bideford,0,Minor port,Bristol Channel,,8
Blyth,0,Minor port,North East,,9
Boston,0,Major port,Wash & Northern E Anglia,England,10
Bridgwater,0,Minor port,Bristol Channel,,11
Brightlingsea,0,Minor port,Thames and Kent,,12
Bristol,0,Major port,Bristol Channel,England,13
Buckie,0,Minor port,Scotland East Coast,,14
Burry Port,0,Minor port,Bristol Channel,,15
Cairnryan,0,Major port,Scotland West Coast,Scotland,16
Cardiff,0,Major port,Bristol Channel,Wales,17
Chichester,0,Minor port,Sussex and Hampshire,,18
Clyde,0,Major port,Scotland West Coast,Scotland,19
Coleraine,0,Minor port,Northern Ireland,,20
Corpach,0,Minor port,Scotland West Coast,,21
"Cowes, Isle of Wight ",0,Minor port,Sussex and Hampshire,,22
Cromarty Firth,0,Major port,Scotland East Coast,Scotland,23
Dover,0,Major port,Thames and Kent,England,24
Dundee,0,Major port,Scotland East Coast,Scotland,25
Falmouth,0,Minor port,West Country,,26
Felixstowe,0,Major port,Haven,England,27
Fishguard,0,Major port,West and North Wales,Wales,28
Fleetwood,0,Major port,Lancs and Cumbria,,29
Forth,0,Major port,Scotland East Coast,Scotland,30
Fowey,0,Major port,West Country,England,31
Fraserburgh,0,Minor port,Scotland East Coast,,32
Garston,0,Minor port,Lancs and Cumbria,,33
Gill's Bay Scotland,0,Minor port,Scotland East Coast,,34
Glensanda,0,Major port,Scotland West Coast,Scotland,35
Goole,0,Major port,Humber,England,36
Great Yarmouth,0,Major port,Wash & Northern E Anglia,England,37
Grimsby & Immingham,0,Major port,Humber,England,38
Harwich,0,Major port,Haven,England,39
Heysham,0,Major port,Lancs and Cumbria,England,40
Holyhead,0,Major port,West and North Wales,Wales,41
Hughtown (St Mary's),0,Minor port,West Country,,42
Hull,0,Major port,Humber,England,43
Inverkeithing,0,Minor port,Scotland East Coast,,44
Inverness,0,Minor port,Scotland East Coast,,45
Ipswich,0,Major port,Haven,,46
Kilroot,0,Minor port,Northern Ireland,,47
Kilroot Power Station Jetty,0,Major port,Northern Ireland,Northern Ireland,48
King's Lynn,0,Minor port,Wash & Northern E Anglia,,49
Lancaster,0,Minor port,Lancs and Cumbria,,50
Larne,0,Major port,Northern Ireland,Northern Ireland,51
Lerwick,0,Minor port,Scotland East Coast,,52
