"Container transport"
"Sea, Twenty Foot Equivalent Unit, 2022"
"Category";"Container transport"
"United States";40096869
"Korea";28822371
"Spain";17122705
"Netherlands";14562102
"Germany";13856306,5
"Türkiye";12366382
"Belgium";12303820,75
"Italy";10130487
"United Kingdom";9676000
"Mexico";8311798
"Canada";7067800
"France";6478871
"Greece";4850624
"Chile";4136950
"Portugal";3232741
"New Zealand";3048044
"Poland";2786881
"Finland";1445896
"Sweden";1270095,5
"Ireland";1154394
"Lithuania";1048082
"Slovenia";975698
"Norway";935175
"Latvia";472220
"Estonia";279624
"Luxembourg";
"Czechia";
"Slovak Rep.";
"Hungary";
"Austria";
"Switzerland";
