STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRANSPORT_MODE,Transport mode,GEO_COVERAGE,Geographical coverage,VEHICLE_TYPE,Vehicle type,FUEL,Fuel type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,IRL,Ireland,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q3,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,IRL,Ireland,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q4,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,IRL,Ireland,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2024-Q1,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,LTU,Lithuania,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q2,,6,,,,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,ISL,Iceland,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q2,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,ISL,Iceland,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q3,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,CHL,Chile,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q3,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,CHL,Chile,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q4,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,CHL,Chile,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2024-Q1,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,JPN,Japan,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q2,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,JPN,Japan,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q3,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,MLT,Malta,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q2,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,MLT,Malta,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q3,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,MLT,Malta,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q4,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,MLT,Malta,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2024-Q1,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,ESP,Spain,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2024-Q2,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,ESP,Spain,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q2,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,ESP,Spain,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q3,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,ESP,Spain,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q4,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,NZL,New Zealand,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q2,,,,M,Missing value; data cannot exist,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,LTU,Lithuania,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2024-Q1,,0.8,,,,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,LTU,Lithuania,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q4,,2,,,,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,LTU,Lithuania,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2024-Q2,,2.49,,,,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,NLD,Netherlands,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2024-Q2,,9798,,,,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,NLD,Netherlands,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q2,,10755,,,,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,AUT,Austria,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q3,,314,,,,,,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_ST@DF_STFREIGHT(1.0),Freight transport,I,AUT,Austria,Q,Quarterly,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,_T,Total,2023-Q4,,253.8,,,,,,6,Millions,1,One
