"Bilateral trade statistics present large asymmetries "
"Ratio between balanced and reported trade by reporter country and trade flow - selected OECD traders - Total services &amp; all partners  - 2021"
"Category";"Exports";"Imports"
"United States of America";1,188169079;1,352034649
"Switzerland";1,164819246;1,436915358
"Italy";1,074982568;1,037813679
"Spain";0,993827576;1,145272202
"Germany";0,974408404;1,037748789
"United Kingdom";0,96696274;1,372889919
"Japan";0,939867354;0,928638917
"Netherlands";0,891759289;0,939177702
"France";0,865112504;0,944306279
"Ireland";0,840931188;0,820845252
