FY,Month (abbv),Component,Region,Land Filter,Branch,Drug Type,Count of Event,Sum Qty (lbs)
2025 (FYTD),NOV,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,1,1539.69
2025 (FYTD),NOV,Air and Marine Operations,Coastal/Interior,Other,Ground Tactical Air Controller,Fentanyl,2,60.63
2025 (FYTD),NOV,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,1,5805.77
2025 (FYTD),NOV,Air and Marine Operations,Coastal/Interior,Other,NASOC - Houston,Marijuana,1,9415.35
2025 (FYTD),NOV,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,1,2657.03
2025 (FYTD),NOV,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,1,1.12
2025 (FYTD),NOV,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,2,827.59
2025 (FYTD),NOV,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,2,0.5
2025 (FYTD),NOV,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,2,0.0
2025 (FYTD),NOV,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,1,0.73
2025 (FYTD),NOV,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,1,0.07
2025 (FYTD),NOV,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,2,0.0
2025 (FYTD),NOV,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,2,0.0
2025 (FYTD),NOV,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marijuana,2,40.14
2025 (FYTD),NOV,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,3,14.57
2025 (FYTD),NOV,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,2,4.6000000000000005
