Unnamed: 0,Empty Imports,Loaded Imports,Total Imports,Empty Exports,Loaded Exports,Total Exports,Total TEUs
2020-10,12872.0,26882.0,39754,11391.0,33368.0,44759,84513
2020-11,12006.0,26280.0,38286,10439.0,31476.0,41915,80201
2020-12,12463.0,27913.0,40376,11862.0,32889.0,44751,85127
2021-01,15318.0,26832.0,42150,15194.0,30795.0,45989,88139
2021-02,10536.0,28875.0,39411,13515.0,29787.0,43302,82713
2021-03,10212.0,32387.0,42599,16029.0,32158.0,48187,90786
2021-04,12200.0,28974.0,41174,13021.0,33506.0,46527,87701
2021-05,14688.0,30443.0,45131,11505.0,33655.0,45160,90291
2021-06,12230.0,30910.0,43140,11703.0,31505.0,43208,86348
2021-07,,,0,,,0,0
2021-08,,,0,,,0,0
2021-09,,,0,,,0,0
