MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
477308400,2024-09-11T00:00:03,25.89718,-79.70134,13.3,123.3,133.0,SEASPAN LOGA,IMO9320001,VRSM4,70.0,0.0,207.0,30.0,8.0,70.0,A
636016983,2024-09-11T00:00:05,29.13143,-88.81677,13.0,348.7,351.0,ZIM NORFOLK,IMO9710220,D5IS4,71.0,0.0,300.0,48.0,12.5,71.0,A
352003844,2024-09-11T00:00:05,35.57131,-74.03231,14.1,324.3,318.0,NORD TOPAZ,IMO9992268,3E6093,70.0,0.0,183.0,31.0,9.7,70.0,A
369000000,2024-09-11T00:00:05,29.3312,-89.03495,0.1,256.0,83.0,LARRY T RIGDON,IMO9668166,KMIV,70.0,11.0,93.0,19.0,5.0,70.0,A
636093027,2024-09-11T00:00:01,37.2533,-74.29417,12.3,14.6,12.0,BSG BONAIRE,IMO9303766,5LBS9,70.0,0.0,222.0,32.0,8.6,70.0,A
367655260,2024-09-11T00:00:04,41.21734,-71.20393,0.1,257.7,242.0,SHELIA BORDELON,IMO9670638,WSHQ,79.0,3.0,78.0,16.0,4.0,79.0,A
538006787,2024-09-11T00:00:00,46.41935,-84.24931,9.0,159.3,159.0,FEDERAL YUKON,IMO9205897,V7RG8,79.0,0.0,199.0,24.0,5.9,79.0,A
636093186,2024-09-11T00:00:05,34.53532,-131.39183,19.1,124.1,124.0,UMM SALAL,IMO9525857,5LLQ5,74.0,0.0,366.0,48.0,11.9,74.0,A
636091783,2024-09-11T00:00:03,26.50994,-120.80088,14.6,115.0,111.0,NORTHERN DIPLOMAT,IMO9353230,A8SV8,71.0,0.0,231.0,32.0,7.9,71.0,A
351606000,2024-09-11T00:00:02,29.65119,-117.17481,11.0,141.8,142.0,FELICIA K,IMO9614309,3FQW2,70.0,0.0,181.0,28.0,6.7,70.0,A
538009492,2024-09-11T00:00:06,48.5879,-125.44996,1.3,335.6,215.0,LIBERTY KING,IMO9203291,V7A4807,70.0,0.0,200.0,32.0,8.6,70.0,A
257768000,2024-09-11T00:00:00,41.11069,-70.62227,3.8,89.5,87.0,COASTAL SERVER,IMO9905021,LGYP,79.0,3.0,24.0,11.0,0.0,98.0,A
368042000,2024-09-11T00:00:06,29.14743,-90.19912,0.0,255.6,339.0,ODYSSEA SPIRIT,IMO9204570,WDF8304,70.0,0.0,66.0,15.0,3.7,70.0,A
229955000,2024-09-11T00:00:01,30.9166,-119.17427,15.2,238.1,240.0,CMA CGM SEATTLE,IMO9290098,9HA5642,71.0,0.0,260.0,32.0,11.1,71.0,A
