,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,TransceiverClass,size,size_scaled,size_traced
33,538005359,2024-09-03T00:00:03,28.92471,-124.37106,12.8,120.3,122.0,STAR CHALLENGER,IMO9632997,V7DA8,79.0,0.0,200.0,32.0,10.8,A,69120.0,6.095344744840825,0.25
45,367622850,2024-09-03T00:00:04,29.1872,-94.05138,4.1,281.5,280.0,FMS ENDURANCE,IMO9209075,WDH4937,75.0,0.0,62.0,13.0,3.2,A,2579.2000000000003,2.1528170307565606,0.25
85,366843080,2024-09-03T00:00:05,28.97061,-89.81967,0.8,206.7,511.0,CAPT LEVERT,IMO1123753,WDA7416,70.0,0.0,36.0,9.0,0.0,A,0.0,2.0,0.25
108,255806123,2024-09-03T00:00:00,43.33614,-66.60371,15.0,277.9,273.0,EF AVA,IMO9389306,CQAA9,71.0,0.0,130.0,21.0,7.8,A,21294.0,3.261664800298619,0.25
132,367750000,2024-09-03T00:00:02,28.98812,-92.90963,10.2,279.7,276.0,HARVEY SUPPLIER,IMO9388118,WDAW,70.0,0.0,77.0,18.0,4.1,A,5682.599999999999,2.3366927958193355,0.25
179,212282000,2024-09-03T00:00:01,24.25188,-80.31774,13.7,57.0,56.0,KYPROS SEA,IMO9675602,5BAV4,70.0,0.0,224.0,32.0,14.3,A,102502.40000000001,8.073244577163951,0.25
184,256239000,2024-09-03T00:00:03,46.50198,-84.33254,1.6,283.5,290.0,MIEDWIE,IMO9393448,9HA5757,70.0,0.0,190.0,24.0,6.6,A,30096.0,3.783181357649443,0.25
190,305536000,2024-09-03T00:00:05,29.34235,-94.75504,13.3,87.3,87.0,BBC ECHO,IMO9407603,V2ES5,70.0,0.0,139.0,20.0,5.5,A,15290.0,2.905929125414008,0.25
208,538009562,2024-09-03T00:00:00,39.38616,-75.4808,16.6,135.5,135.0,DEL MONTE ROSE,IMO9849655,V7A4892,70.0,0.0,192.0,30.0,8.3,A,47808.00000000001,4.8326134485149055,0.25
222,305856000,2024-09-03T00:00:07,21.53857,-112.14726,15.7,296.2,296.0,BBC MOONSTONE,IMO9563732,V2FY9,70.0,0.0,154.0,24.0,7.8,A,28828.8,3.7081000373273607,0.25
263,353408000,2024-09-03T00:00:07,29.49359,-89.70027,11.0,322.1,323.0,BULK XAYMACA,IMO9362190,3EEE2,79.0,0.0,225.0,32.0,9.4,A,67680.0,6.010025062656642,0.25
266,304676000,2024-09-03T00:00:07,30.05116,-90.66745,0.0,341.6,246.0,THORCO CYGNUS,IMO9294977,V2BQ2,70.0,5.0,145.0,18.0,4.7,A,12267.0,2.726817042606516,2.726817042606516
270,338931000,2024-09-03T00:00:38,36.86598,-76.3159,0.0,0.0,227.0,US GOV VESSEL,IMO9145449,NEHM,70.0,5.0,289.0,32.0,0.0,A,0.0,2.0,2.0
381,636019985,2024-09-03T00:00:19,47.27259,-122.40623,0.0,125.6,133.0,YM TARGET,IMO9860934,D5XC6,71.0,5.0,330.0,48.0,13.4,A,212256.0,14.576121153948703,14.576121153948703
395,303923000,2024-09-03T00:00:03,30.02647,-93.99913,0.0,0.0,13.0,CAPE VICTORY,IMO8211306,KAEY,70.0,15.0,193.0,28.0,0.0,A,0.0,2.0,2.0
402,413219610,2024-09-03T00:00:28,26.08233,-97.01093,0.2,206.9,341.0,KANG HUAN,IMO9277644,BOCA8,70.0,1.0,190.0,32.0,11.3,A,68704.0,6.0706968366542835,6.0706968366542835
477,563174100,2024-09-03T00:00:10,34.40288,-126.60961,1.0,167.0,267.0,WAN HAI 357,IMO9930387,9V7389,70.0,2.0,204.0,35.0,10.1,A,72114.0,6.272738584048775,6.272738584048775
501,477056400,2024-09-03T00:00:07,34.3437,-120.46967,9.5,283.4,290.0,COSCO OCEANIA,IMO9334923,VRDQ5,71.0,0.0,349.0,46.0,13.7,A,219939.8,15.031384608092335,0.25
524,636020354,2024-09-03T00:00:08,39.72271,-73.68814,7.3,13.4,15.0,MSC PASSION III,IMO9399765,D5YV3,79.0,0.0,224.0,31.0,10.9,A,75689.6,6.484592094894447,0.25
558,249830000,2024-09-03T00:00:15,29.70958,-121.27921,16.9,129.2,128.0,ZIM LUANDA,IMO9403229,9HA2029,70.0,0.0,260.0,32.0,12.5,A,104000.0,8.161977046635503,0.25
589,538006785,2024-09-03T00:01:07,41.63859,-87.15021,0.1,168.8,181.0,FEDERAL SETO,IMO9267209,V7RG6,70.0,5.0,199.0,23.0,7.2,A,32954.4,3.9525409267850478,3.9525409267850478
