ID;Status;Uptime;Country;Location;Ships;Distinct;Contributor;ships_rel;cum_ships_rel;dist_rel;
2213;;100 %; Unknown;Worldwide;4171;2148; ;4,37 %;4,37 %;8,14 %;8,14 %
2010;;100 %; Norway; ;3026;2174; ;3,17 %;7,55 %;8,24 %;16,39 %
2077;;100 %; Netherlands;Harderwijk;1067;63; ;1,12 %;8,67 %;0,24 %;16,62 %
2241;;100 %; Netherlands;Gouda;988;200; ;1,04 %;9,70 %;0,76 %;17,38 %
3438;;99 %; Netherlands;Amsterdam;793;225; ;0,83 %;10,54 %;0,85 %;18,24 %
2404;;100 %; Unknown;Roaming stations;777;382; ;0,81 %;11,35 %;1,45 %;19,68 %
2945;;100 %; Netherlands;Rotterdam;757;18; ;0,79 %;12,14 %;0,07 %;19,75 %
3103;;100 %; Canada;Multiple Locations;724;0; ;0,76 %;12,90 %;0,00 %;19,75 %
3343;;100 %; Canada;Point Grey, BC;724;0; ;0,76 %;13,66 %;0,00 %;19,75 %
2902;;100 %; Singapore;Singapore;703;113; ;0,74 %;14,40 %;0,43 %;20,18 %
2141;;100 %; Norway;Multiple AIS stations;643;123; ;0,67 %;15,08 %;0,47 %;20,65 %
3131;;100 %; Greece;Elliniko;625;63; ;0,66 %;15,73 %;0,24 %;20,89 %
2134;;100 %; United States of America;Fort Lauderdale, FL;603;128; ;0,63 %;16,36 %;0,49 %;21,37 %
2145;;100 %; Belgium;Antwerp;594;292;Tresco Engineering;0,62 %;16,99 %;1,11 %;22,48 %
2097;;100 %; Netherlands;Hellevoetsluis;592;14;InterTransIS;0,62 %;17,61 %;0,05 %;22,53 %
3272;;100 %; Hong Kong;Tseung Kwan O;541;349; ;0,57 %;18,17 %;1,32 %;23,86 %
2517;;100 %; Brazil;Belem;519;289; ;0,54 %;18,72 %;1,10 %;24,95 %
2918;;100 %; Singapore;Singapore;466;26; ;0,49 %;19,21 %;0,10 %;25,05 %
2435;;100 %; Netherlands;Katwijk;456;40; ;0,48 %;19,69 %;0,15 %;25,20 %
3344;;100 %; Greece;Athens;437;5; ;0,46 %;20,14 %;0,02 %;25,22 %
2214;;100 %; Netherlands;Rotterdam;434;1; ;0,46 %;20,60 %;0,00 %;25,22 %
2323;;100 %; Netherlands;Marken;428;12; ;0,45 %;21,05 %;0,05 %;25,27 %
2118;;100 %; Greece;Alimos;426;2; ;0,45 %;21,50 %;0,01 %;25,28 %
3074;;100 %; Greece;Piraeus;420;2; ;0,44 %;21,94 %;0,01 %;25,28 %
2946;;100 %; Singapore;Singapore;415;12; ;0,44 %;22,37 %;0,05 %;25,33 %
2459;;100 %; Netherlands;Edam;393;21; ;0,41 %;22,78 %;0,08 %;25,41 %
2446;;100 %; Netherlands;IJmuiden;387;17; ;0,41 %;23,19 %;0,06 %;25,47 %
2577;;100 %; Germany;Hamburg;384;22; ;0,40 %;23,59 %;0,08 %;25,56 %
3332;;100 %; Russian Federation;Vladivostok;373;372; ;0,39 %;23,98 %;1,41 %;26,97 %
2698;;43 %; Netherlands;Arnemuiden Oranjeplaat;370;88; ;0,39 %;24,37 %;0,33 %;27,30 %
2997;;100 %; Singapore;Keppel Bay;365;22; ;0,38 %;24,75 %;0,08 %;27,38 %
3567;;100 %; Singapore;Singapore;362;71; ;0,38 %;25,13 %;0,27 %;27,65 %
2032;;100 %; Greece;Athens;347;2; ;0,36 %;25,50 %;0,01 %;27,66 %
3038;;100 %; Greece;Piraeus;346;0; ;0,36 %;25,86 %;0,00 %;27,66 %
3979;;100 %; Netherlands;Hellevoetsluis;341;3; ;0,36 %;26,22 %;0,01 %;27,67 %
