ID;Status;Uptime;Country;Location;Ships;Distinct
2213;;100 %; Unknown;Worldwide;3533;1686
2010;;100 %; Norway; ;3052;2190
2077;;100 %; Netherlands;Harderwijk;1075;62
2241;;100 %; Netherlands;Gouda;989;199
3438;;99 %; Netherlands;Amsterdam;774;221
2945;;100 %; Netherlands;Rotterdam;767;31
3103;;100 %; Canada;Multiple Locations;679;0
3343;;100 %; Canada;Point Grey, BC;679;0
3131;;100 %; Greece;Elliniko;628;51
2141;;100 %; Norway;Multiple AIS stations;607;103
3272;;100 %; Hong Kong;Tseung Kwan O;585;364
2145;;100 %; Belgium;Antwerp;566;259
2435;;100 %; Netherlands;Katwijk;555;57
2134;;100 %; United States of America;Fort Lauderdale, FL;553;103
2918;;100 %; Singapore;Singapore;542;65
2097;;100 %; Netherlands;Hellevoetsluis;518;5
2323;;100 %; Netherlands;Marken;505;16
2902;;100 %; Singapore;Singapore;495;38
2517;;100 %; Brazil;Belem;485;277
3808;;100 %; Singapore;Singapore;473;125
2214;;100 %; Netherlands;Rotterdam;467;1
3344;;100 %; Greece;Athens;451;7
2118;;100 %; Greece;Alimos;438;5
2404;;100 %; Unknown;Roaming stations;421;98
3074;;100 %; Greece;Piraeus;406;3
2946;;100 %; Singapore;Singapore;404;6
2459;;100 %; Netherlands;Edam;400;11
3567;;100 %; Singapore;Singapore;387;103
3332;;100 %; Russian Federation;Vladivostok;386;384
2446;;100 %; Netherlands;IJmuiden;377;12
2997;;100 %; Singapore;Keppel Bay;377;30
2577;;100 %; Germany;Hamburg;366;16
2698;;57 %; Netherlands;Arnemuiden Oranjeplaat;356;90
3979;;100 %; Netherlands;Hellevoetsluis;351;9
3943;;100 %; Korea;Busan;343;207
2032;;100 %; Greece;Athens;335;3
3038;;100 %; Greece;Piraeus;316;1
3182;;61 %; United States of America;Seattle;314;45
2011;;100 %; Sweden;Gothenburg;313;0
2164;;100 %; Sweden;Goteborg, West Coast;311;0
2488;;100 %; Netherlands;Oud-Beijerland;307;4
2475;;100 %; Netherlands;Poortugaal;304;1
2413;;81 %; Germany;Hamburg Alster;301;1
3270;;100 %; Sweden;Gothenburg - SW, Särö;294;35
2954;;100 %; France;Sophia Antipolis, MINES Paristech;288;49
2843;;100 %; United Kingdom;Gravesend;288;58
2744;;100 %; United States of America;Seattle;285;11
3124;;100 %; Netherlands;Zierikzee;277;74
2276;;100 %; Belgium;Schilde;271;6
2292;;100 %; Belgium;Gent;266;181
3857;;100 %; Germany;Hamburg;263;0
2650;;100 %; United States of America;Sabine Pass, TX;261;72
3124;;100 %; Netherlands;Zierikzee;261;73
3700;;100 %; Netherlands;Emmeloord;261;55
2169;;100 %; Italy;La Spezia;260;82
3372;;100 %; Netherlands;Wijchen;259;45
2636;;100 %; Netherlands;IJmuiden;258;0
3731;;100 %; Netherlands;Rotterdam;258;1
3016;;76 %; Indonesia;Jakarta;254;237
2484;;100 %; United States of America;Biscayne Bay PS - Miami FL;248;65
2353;;100 %; Taiwan (Province of China);Kaohsiung;245;244
2068;;100 %; Spain;Roaming station;242;18
2603;;100 %; Germany;Geesthacht;239;25
3040;;100 %; Netherlands;Ter Heijde;237;1
2672;;100 %; United States of America;Highlands;236;134
2036;;100 %; Germany;Hamburg;234;1
2405;;100 %; France;Cap Camarat;233;25
2468;;80 %; Netherlands;Rotterdam;232;21
2326;;100 %; Japan;Sumoto;231;225
2177;;100 %; Hong Kong;Kowloon;228;33
2799;;86 %; Indonesia;Jepara;227;207
2126;;100 %; Germany;Cologne;224;143
3978;;100 %; United States of America;Mandeville, LA;222;221
2987;;100 %; Netherlands;Vogelwaarde, Zeeland;220;32
2047;;100 %; United States of America;Galveston Bay Texas;218;3
2236;;91 %; Netherlands;IJmuiden;217;0
2146;;100 %; Spain;Palma de Mallorca;216;0
2182;;92 %; Canada;Vancouver;215;4
2662;;100 %; France;Le Havre;212;27
