ID,Status,Uptime,Country,Location,Ships,Distinct,Contributor
2213,,100 %,ÿUnknown,Worldwide,4749,2396, 
2010,,100 %,ÿNorway, ,3289,2486, 
2077,,86 %,ÿNetherlands,Harderwijk,1034,78, 
2241,,100 %,ÿNetherlands,Gouda,892,124, 
3438,,100 %,ÿNetherlands,Amsterdam,797,250, 
2549,,77 %,ÿNetherlands,Zoetermeer,724,3, 
3343,,100 %,ÿCanada,"Point Grey, BC",719,0, 
3103,,100 %,ÿCanada,Multiple Locations,719,0, 
2459,,99 %,ÿNetherlands,Edam,644,12, 
2141,,100 %,ÿNorway,Multiple AIS stations,635,121, 
3131,,100 %,ÿGreece,Elliniko,627,62, 
2902,,100 %,ÿSingapore,Singapore,613,42, 
2134,,100 %,ÿUnited States of America,"Fort Lauderdale, FL",609,116, 
2097,,100 %,ÿNetherlands,Hellevoetsluis,583,42,InterTransIS
2918,,100 %,ÿSingapore,Singapore,559,48, 
2145,,100 %,ÿBelgium,Antwerp,535,169,Tresco Engineering
2435,,100 %,ÿNetherlands,Katwijk,514,44, 
3567,,98 %,ÿSingapore,Singapore,499,157, 
3272,,100 %,ÿHong Kong,Tseung Kwan O,489,304, 
3344,,93 %,ÿGreece,Athens,487,11, 
2214,,99 %,ÿNetherlands,Rotterdam,427,1, 
2404,,100 %,ÿUnknown,Roaming stations,408,90, 
2843,,100 %,ÿUnited Kingdom,Gravesend,404,69, 
3074,,100 %,ÿGreece,Piraeus,404,5, 
2118,,100 %,ÿGreece,Alimos,403,2, 
2323,,100 %,ÿNetherlands,Marken,395,1, 
2997,,100 %,ÿSingapore,Keppel Bay,375,21, 
3808,,100 %,ÿSingapore,Singapore,372,69, 
3943,,100 %,ÿKorea,Busan,358,238, 
2446,,100 %,ÿNetherlands,IJmuiden,357,12, 
2577,,100 %,ÿGermany,Hamburg,353,20, 
3979,,100 %,ÿNetherlands,Hellevoetsluis,350,9, 
2803,,100 %,ÿNetherlands,Bergharen,335,58, 
2488,,100 %,ÿNetherlands,Oud-Beijerland,325,5, 
3270,,100 %,ÿSweden,"Gothenburg - SW, S„r”",324,50, 
2698,,100 %,ÿNetherlands,Arnemuiden Oranjeplaat,323,72, 
3978,,100 %,ÿUnited States of America,"Mandeville, LA",314,313, 
3016,,100 %,ÿIndonesia,Jakarta,313,307, 
2517,,100 %,ÿBrazil,Belem,307,270, 
2011,,100 %,ÿSweden,Gothenburg,305,0, 
2164,,100 %,ÿSweden,"Goteborg, West Coast",302,0, 
3038,,100 %,ÿGreece,Piraeus,301,0, 
2326,,100 %,ÿJapan,Sumoto,298,282, 
3182,,99 %,ÿUnited States of America,Seattle,294,49, 
2954,,94 %,ÿFrance,"Sophia Antipolis, MINES Paristech",293,111,MINES Paristech
2126,,96 %,ÿGermany,Cologne,291,202, 
2292,,100 %,ÿBelgium,Gent,286,156, 
2744,,100 %,ÿUnited States of America,Seattle,281,11, 
2413,,98 %,ÿGermany,Hamburg Alster,280,0,www.searoutes.com
2036,,100 %,ÿGermany,Hamburg,273,0,
3040,,100 %,ÿNetherlands,Ter Heijde,267,16, 
2484,,100 %,ÿUnited States of America,Biscayne Bay PS - Miami FL,263,65,SEAiq
3423,,92 %,ÿGermany,Oldendorf,263,49, 
2169,,84 %,ÿItaly,La Spezia,262,111, 
2599,,56 %,ÿNetherlands,Zwijndrecht,261,10, 
2457,,100 %,ÿGermany,Madgeburg,261,62, 
2068,,100 %,ÿSpain,Roaming station,260,18, 
2276,,100 %,ÿBelgium,Schilde,259,6, 
2298,,99 %,ÿNetherlands,Rotterdam,256,0, 
3857,,100 %,ÿGermany,Hamburg,254,1, 
3731,,100 %,ÿNetherlands,Rotterdam,251,0, 
2636,,100 %,ÿNetherlands,IJmuiden,244,0, 
2946,,100 %,ÿSingapore,Singapore,243,4, 
3046,,90 %,ÿTaiwan (Province of China),"Keelung, National Taiwan Ocean University",240,240, 
2146,,98 %,ÿSpain,Palma de Mallorca,234,3, 
