Police force region or authority,Cocaine,Crack,Ecstasy (MDMA),Heroin,LSD,Methadone,Morphine,Cannabis (Herbal),Cannabis (Resin),Cannabis Plants,Amphetamines,Barbiturates,Ketamine,Anabolic Steroids,Benzodiazepines,GHB,Temazepam
Cleveland,5.93,0.81,0.46,1.54,0.01,4.47,3.42,66.17,0.42,6817.0,9.9,0.0,0.0,0.72,16.52,0.0,9.87
Durham,1.41,0.08,0.18,1.17,0.0,0.2,0.42,8.75,1.09,15009.0,0.95,0.0,0.0,0.36,3.13,0.0,0.3
Northumbria,62.23,0.62,10.05,10.39,0.14,2.23,0.94,214.76,13.07,29493.0,3.59,0.0,2.2,4.39,31.1,0.0,0.87
Cheshire,2.27,0.4,0.13,0.4,0.01,0.01,0.11,8.59,0.34,1443.0,1.71,0.0,0.05,0.0,0.38,0.0,0.0
Cumbria,10.9,1.06,8.39,4.82,0.01,0.2,0.0,84.73,0.49,6448.0,8.23,0.0,0.64,0.0,10.44,0.0,0.01
Greater Manchester,1.66,0.43,0.31,0.51,0.03,0.15,0.0,69.1,6.62,14783.0,0.2,0.0,0.06,0.23,3.86,0.0,0.0
Lancashire,6.3,1.37,0.39,16.7,0.04,0.94,0.0,109.94,4.26,44401.0,6.9,0.0,0.6,1.4,13.43,0.0,0.03
Merseyside,29.83,2.25,0.0,35.31,0.0,0.36,0.0,3.71,5.63,44226.0,31.13,0.0,16.69,0.73,3.45,0.0,0.0
Humberside,2.94,3.44,0.01,1.79,0.0,1.17,0.0,57.88,0.0,5527.0,2.8,0.0,0.07,0.09,0.14,0.0,0.0
North Yorkshire,1.36,0.04,2.55,0.16,0.01,0.0,0.01,19.14,0.07,1198.0,0.04,0.0,0.05,0.01,0.21,0.0,0.0
South Yorkshire,2.05,0.14,0.27,0.22,0.0,1.18,0.03,101.89,3.48,230069.0,0.11,0.0,0.34,8.95,2.34,0.0,0.0
West Yorkshire,1.44,0.22,0.15,0.18,0.02,0.07,0.12,50.31,5.98,19947.0,0.18,0.0,0.02,0.24,1.36,0.0,0.0
Derbyshire,3.28,1.35,0.62,1.91,0.37,1.81,0.1,124.81,0.16,6940.2,2.25,0.0,0.24,0.39,1.06,0.04,0.03
Leicestershire,4.68,0.97,38.87,4.14,0.03,56.42,1.0,611.52,1.13,41576.0,0.98,0.0,0.1,2.82,2.14,0.02,0.0
Lincolnshire,0.05,0.0,0.01,0.14,0.0,1.56,0.27,12.27,0.16,13102.98,0.03,0.0,0.03,0.0,0.05,0.0,0.01
Northamptonshire,0.58,0.28,0.58,0.15,0.01,0.06,0.21,28.52,1.35,15853.0,0.06,0.0,0.04,0.0,0.14,0.0,0.0
Nottinghamshire,6.75,7.8,6.12,0.13,0.01,0.0,0.0,104.04,1.78,15615.0,0.69,0.0,0.06,0.0,0.03,0.0,0.0
Staffordshire,31.92,0.8,0.31,4.55,0.1,0.77,0.15,129.03,1.19,24578.0,0.99,0.01,9.91,0.26,1.46,0.0,0.0
Warwickshire,0.65,0.17,0.12,0.08,0.04,0.16,0.01,12.61,3.36,3270.0,0.03,0.0,0.0,0.0,0.17,0.0,0.02
West Mercia,1.5,0.42,0.45,0.39,0.25,1.54,0.13,31.45,2.55,6531.0,0.06,0.0,0.01,0.92,0.72,0.0,0.0
