,Date,Empty Exports,Loaded Exports,Empty Imports,Loaded Imports,Total TEUs,Total Imports,Total Exports,latitude,longitude,Count of Event_Cocaine,Count of Event_Ecstasy,Count of Event_Fentanyl,Count of Event_Heroin,Count of Event_Ketamine,Count of Event_Khat (Catha Edulis),Count of Event_Lsd,Count of Event_Marijuana,Count of Event_Methamphetamine,Count of Event_Other Drugs**,Sum Qty (lbs)_Cocaine,Sum Qty (lbs)_Ecstasy,Sum Qty (lbs)_Fentanyl,Sum Qty (lbs)_Heroin,Sum Qty (lbs)_Ketamine,Sum Qty (lbs)_Khat (Catha Edulis),Sum Qty (lbs)_Lsd,Sum Qty (lbs)_Marijuana,Sum Qty (lbs)_Methamphetamine,Sum Qty (lbs)_Other Drugs**,Sum_of_Counts,Ratio_Cocaine,Ratio_Ecstasy,Ratio_Fentanyl,Ratio_Heroin,Ratio_Ketamine,Ratio_Khat (Catha Edulis),Ratio_Lsd,Ratio_Marijuana,Ratio_Methamphetamine,Ratio_Other Drugs**,Hub Portuario
0,2018-10,60010.25,74085.5,10454.0,134470.5,333994.55,144924.5,134095.75,47.449354639175255,-122.42877860824744,3.0,3.0,,3.0,,,11.0,80.0,5.0,31.0,0.030974947811,0.010141264052,,0.093475999088,,,0.096342008494,9.1180766478318,0.0241626639151999,4.0460998020336,136.0,0.010324982603666667,0.003380421350666667,,0.031158666362666666,,,0.008758364408545454,0.11397595809789748,0.00483253278303998,0.13051934845269678,Seattle/Tacoma
1,2018-10,187027.0,130782.00000000001,1297.0,339602.0,658708.0,340899.0,317809.0,40.6909464495114,-74.15705749185668,14.0,105.0,5.0,4.0,5.0,2.0,7.0,4.0,7.0,357.0,52.130726934782,32.28184810013598,1.16624536598,21.85662865468,19.96506244672,593.925333828,0.1036172631399999,0.1849678378179999,0.75618555866,5762.986264094095,510.0,3.723623352484428,0.3074461723822474,0.23324907319600002,5.46415716367,3.993012489344,296.962666914,0.014802466162857129,0.04624195945449998,0.10802650838000001,16.142818666930236,Newark/New York
2,2018-10,42467.25,78852.55,22335.75,82396.85,226052.4,104732.6,121319.8,37.90095694063927,-122.20986401826484,9.0,5.0,,1.0,6.0,,,74.0,7.0,95.0,20.79400055184,1.03396800878,,0.01543235834,12.412466275124,,,115.93647387829796,22.990025143622,786.9285140326976,197.0,2.31044450576,0.206793601756,,0.01543235834,2.0687443791873332,,,1.566709106463486,3.284289306231714,8.28345804244945,Oakland
3,2018-10,7040.0,39467.0,14133.0,29024.0,89664.0,43157.0,46507.0,26.14492877245509,-79.93771224550898,19.0,17.0,1.0,,12.0,,69.0,73.0,1.0,180.0,44.73159454376421,7.593602152328,0.001763698096,,8.479860445568,,0.584445456562,164.95625783399805,19.84160358,4620.875673553153,372.0,2.3542944496718006,0.4466824795487059,0.001763698096,,0.7066550371306667,,0.008470224008144928,2.2596747648492883,19.84160358,25.67153151973974,Miami/Fort Lauderdale
4,2018-10,490137.0,293660.9,24256.3,849907.55,1657961.75,874163.85,783797.9,33.804338012958965,-118.37905453563714,7.0,32.0,,,1.0,,2.0,114.0,9.0,150.0,6.6126994100114,2.964776499376,,,0.010802650838,,0.066800065386,127.02718070782716,83.9312397782934,203.4963902117541,315.0,0.9446713442873429,0.0926492656055,,,0.010802650838,,0.033400032693,1.11427351498094,9.325693308699266,1.356642601411694,Los Angeles/Long Beach
5,2018-10,27342.0,95886.0,9101.0,108653.0,240982.0,117754.0,123228.0,29.602093408239703,-94.66715344569288,1.0,1.0,,,,,,8.0,3.0,10.0,0.040565056208,0.009479877266,,,,,,5.2972010926574,65.616844425846,16.1076122022798,23.0,0.040565056208,0.009479877266,,,,,,0.662150136582175,21.872281475281998,1.61076122022798,Houston
6,2018-11,40237.75,77285.25,18237.5,83364.1,219124.6,101601.6,117523.0,37.90095694063927,-122.20986401826484,6.0,6.0,,2.0,,,,54.0,10.0,104.0,0.706361087448,3.65526430396,,0.00881849048,,,,78.49887327280375,40.08775541077,804.9435877720275,182.0,0.11772684790799999,0.6092107173266667,,0.00440924524,,,,1.4536828383852547,4.008775541077,7.739842190115649,Oakland
7,2018-11,420721.75,268301.0,22472.5,742669.65,1454164.9,765142.15,689022.75,33.804338012958965,-118.37905453563714,9.0,14.0,1.0,2.0,5.0,1.0,,137.0,18.0,76.0,50.431183357024,0.8472364728659998,0.0330693393,0.069666074792,2.625264615896,0.022487150724,,585.0215685450585,131.29962911425616,217.7931474401922,263.0,5.603464817447111,0.060516890918999984,0.0330693393,0.034833037396,0.5250529231792,0.022487150724,,4.270230427336193,7.294423839680898,2.8656993084235816,Los Angeles/Long Beach
8,2018-11,46825.25,83677.25,18301.5,116607.0,319241.85,134908.5,130502.5,47.449354639175255,-122.42877860824744,7.0,3.0,,,,1.0,5.0,82.0,4.0,26.0,0.015542589471,0.008377565956,,,,696.5725630152,0.0335102638239999,361.6524895743625,0.0520511400581999,1.599563941941,128.0,0.0022203699244285713,0.0027925219853333332,,,,696.5725630152,0.00670205276479998,4.410396214321494,0.013012785014549975,0.06152169007465384,Seattle/Tacoma
9,2018-11,164584.0,115415.0,2055.0,301826.0,583880.0,303881.0,279999.0,40.6909464495114,-74.15705749185668,14.0,103.0,15.0,9.0,11.0,1.0,12.0,6.0,10.0,515.0,185.6682243781478,50.46601639442003,9.4075215516116,3.551426578558,5.21172787368,191.361243416,0.0507063202599999,5.9091822857432,0.6437498050400001,632.3638110567481,696.0,13.262016027010558,0.4899613242176702,0.6271681034407733,0.3946029531731111,0.4737934430618182,191.361243416,0.0042255266883333255,0.9848637142905333,0.064374980504,1.2278908952558216,Newark/New York
