Date,Loaded Imports,Empty Imports,Total Imports,Loaded Exports,Empty Exports,Total Exports,Total TEUs
2024-01,"441,763.05",179.00,"441,942.05","126,553.75","287,156.50","413,710.25","855,652.30"
2024-02,"408,764.10",139.00,"408,903.10","132,754.50","239,776.50","372,531.00","781,434.10"
2024-03,"379,541.55","1,018.45","380,560.00","144,717.80","218,139.25","362,857.05","743,417.05"
2024-04,"416,928.85",253,"417,181.85","133,046.25","220,109.00","353,155.25","770,337.10"
2024-05,"390,662.70",467.85,"391,130.55","125,962.75","235,800.00","361,762.75","752,893.30"
2024-06,"428,752.80",545.00,"429,297.80","122,515.00","275,944.25","398,459.25","827,757.05"
2024-07,"501,280.90",358.45,"501,639.35","114,888.75","323,072.25","437,961.00","939,600.35"
2024-08,"509,362.70","1,336.60","510,699.30","121,743.75","328,154.00","449,897.75","960,597.05"
2024-09,"497,803.05","2,083.85","499,886.90","114,702.25","340,117.25","454,819.50","954,706.40"
2024-10,"462,740.25",512.25,"463,252.50","122,715.75","319,057.50","441,773.25","905,025.75"
2024-11,"458,164.70",238.85,"458,403.55","124,117.00","301,794.50","425,911.50","884,315.05"
2024-12,"460,915.50",397.00,"461,312.50","110,483.75","349,820.50","460,304.25","921,616.75"
2023-01,"372,040.00","6,480.70","378,520.70","102,723.25","244,770.00","347,493.25","726,013.95"
2023-02,"249,407.45","2,175.20","251,582.65","82,404.00","153,859.50","236,263.50","487,846.15"
2023-03,"319,961.95","5,991.80","325,953.75","98,276.25","199,003.75","297,280.00","623,233.75"
2023-04,"343,688.50","4,195.25","347,883.75","88,201.75","252,024.25","340,226.00","688,109.75"
2023-05,"409,150.15","2,535.80","411,685.95","101,741.00","265,713.25","367,454.25","779,140.20"
2023-06,"435,306.65","2,069.55","437,376.20","108,049.50","287,609.75","395,659.25","833,035.45"
2023-07,"364,208.30",641.95,"364,850.25","110,372.25","209,068.25","319,440.50","684,290.75"
2023-08,"433,224.25","2,758.95","435,983.20","124,987.50","267,045.00","392,032.50","828,015.70"
2023-09,"392,608.35","1,444.00","394,052.35","120,635.25","233,752.50","354,387.75","748,440.10"
2023-10,"372,454.80",109.00,"372,563.80","121,276.50","231,934.25","353,210.75","725,774.55"
2023-11,"384,618.85",140.90,"384,759.75","111,754.75","266,747.25","378,502.00","763,261.75"
2023-12,"364,661.00",191.00,"364,852.00","121,574.75","256,092.25","377,667.00","742,519.00"
2022-01,"427,207.70","1,266.55","428,474.25","100,185.25","336,935.85","437,121.10","865,595.35"
2022-02,"424,072.85","2,739.60","426,812.45","95,441.00","335,510.95","430,951.95","857,764.40"
2022-03,"495,195.80","2,580.05","497,775.85","111,781.25","349,116.95","460,898.20","958,674.05"
2022-04,"456,669.55","1,594.50","458,264.05","99,878.00","329,215.30","429,093.30","887,357.35"
2022-05,"499,960.15","1,719.15","501,679.30","125,655.50","340,565.35","466,220.85","967,900.15"
2022-06,"444,680.40","3,586.95","448,267.35","93,889.50","334,454.45","428,343.95","876,611.30"
2022-07,"485,452.25","5,256.60","490,708.85","103,899.00","340,815.95","444,714.95","935,423.80"
2022-08,"403,601.95","2,064.75","405,666.70","102,319.25","297,328.75","399,648.00","805,314.70"
2022-09,"343,461.65","2,113.40","345,575.05","77,680.25","286,618.00","364,298.25","709,873.30"
2022-10,"336,306.90","4,356.80","340,663.70","89,721.75","248,044.00","337,765.75","678,429.45"
2022-11,"307,079.80","4,475.70","311,555.50","90,115.75","237,672.25","327,888.00","639,343.50"
2022-12,"352,046.35","7,825.90","359,872.25","96,518.00","272,481.25","368,999.25","728,871.50"
2021-01,"437,609.20",254.00,"437,863.20","119,326.75","278,326.25","397,653.00","835,516.20"
2021-02,"412,884.25","1,270.25","414,154.50","101,208.15","283,952.75","385,160.90","799,315.40"
2021-03,"490,115.00","3,350.25","493,465.25","122,899.00","341,235.00","464,134.00","957,599.25"
2021-04,"490,126.85","4,554.75","494,681.60","114,448.50","337,836.25","452,284.75","946,966.35"
2021-05,"535,714.20","5,088.90","540,803.10","109,886.00","361,358.75","471,244.75","1,012,047.85"
2021-06,"467,763.25","1,790.35","469,553.60","96,066.75","310,810.00","406,876.75","876,430.35"
2021-07,"469,360.85",120.70,"469,481.55","91,439.50","329,878.75","421,318.25","890,799.80"
2021-08,"485,672.15","3,201.70","488,873.85","101,292.00","364,211.50","465,503.50","954,377.35"
2021-09,"468,059.15","1,510.95","469,570.10","75,713.50","358,581.00","434,294.50","903,864.60"
2021-10,"467,286.65","1,426.95","468,713.60","98,251.25","335,679.05","433,930.30","902,643.90"
2021-11,"403,443.90","1,865.40","405,309.30","82,741.35","323,409.25","406,150.60","811,459.90"
2021-12,"385,250.70","2,272.45","387,523.15","70,871.75","328,193.85","399,065.60","786,588.75"
2020-01,"414,730.85","11,030.65","425,761.50","148,206.00","232,176.25","380,382.25","806,143.75"
2020-02,"270,025.05","8,710.00","278,735.05","134,468.50","130,833.75","265,302.25","544,037.30"
2020-03,"220,254.55","11,352.75","231,607.30","121,146.00","96,815.00","217,961.00","449,568.30"
2020-04,"370,111.00","4,075.00","374,186.00","130,321.25","184,491.75","314,813.00","688,999.00"
2020-05,"306,323.00",43.00,"306,366.00","104,382.00","170,916.75","275,298.75","581,664.75"
2020-06,"369,188.90",68.00,"369,256.90","109,585.75","212,632.75","322,218.50","691,475.40"
2020-07,"456,028.70","1,168.00","457,196.70","126,353.70","272,838.70","399,192.45","856,389.15"
2020-08,"516,285.95",738.80,"517,024.75","131,428.75","313,379.25","444,808.00","961,832.75"
2020-09,"471,794.50","4,887.05","476,681.55","130,396.75","276,546.50","406,943.25","883,624.80"
2020-10,"506,613.20","4,199.60","510,812.80","143,935.75","325,980.00","469,915.75","980,728.55"
2020-11,"464,819.70","1,247.70","466,067.40","130,916.50","292,762.25","423,678.75","889.,748.15"
2020-12,"460,865.00","1,790.30","462,655.30","120,265.00","296,265.75","416,530.75","879,186.05"
2019-01,"429,922.75","15,807.75","445,730.50","144,993.00","261,726.00","406,719.00","852,449.50"
2019-02,"348,315.75","16,234.80","364,550.55","142,554.50","198,201.50","340,756.00","705,306.55"
2019-03,"297,186.95","13,866.95","311,053.90","158,923.75","180,999.50","339,923.25","650,977.15"
2019-04,"360,744.65","17,598.85","378,343.50","155,532.75","202,589.70","358,122.45","736,465.95"
2019-05,"427,789.00","12,524.40","440,313.40","167,357.25","220,991.50","388,348.75","828,662.15"
2019-06,"396,306.50","9,517.50","405,824.00","139,318.00","219,635.25","358,953.25","764,777.25"
2019-07,"476,438.20","11,166.70","487,604.90","161,340.25","263,209.00","424,549.25","912,154.15"
2019-08,"437,613.25","11,472.55","449,085.80","146,284.00","265,711.00","411,995.00","861,080.80"
2019-09,"402,319.85","12,360.90","414,680.75","130,768.50","234,453.50","365,222.00","779,902.75"
2019-10,"392,768.60","9,656.90","402,425.50","140,331.50","227,431.50","367,763.00","770,188.50"
2019-11,"371,349.70","9,087.95","380,437.65","138,544.50","209,935.75","348,480.25","728,917.90"
2019-12,"373,511.00","10,283.25","383,794.25","130,228.50","232,727.00","362,955.50","746,749.75"
2018-01,"422,831.95","9,296.80","432,128.75","150,035.25","226,564.50","376,599.75","808,728.50"
2018-02,"383,089.55","9,593.40","392,682.95","157,591.25","174,785.25","332,376.50","725,059.45"
2018-03,"264,460.05","9,382.20","273,842.25","163,706.65","140,317.00","304,023.65","577,865.90"
2018-04,"361,108.30","11,418.00","372,526.30","164,703.65","168,306.00","333,009.65","705,535.95"
2018-05,"405,586.80","11,785.80","417,372.60","168,680.75","182,751.00","351,431.75","768,804.35"
2018-06,"382,964.00","10,401.15","393,365.15","147,563.25","182,212.75","329,776.00","723,141.15"
2018-07,"438,164.55","16,517.05","454,681.60","167,991.75","210,894.50","378,886.25","833,567.85"
2018-08,"420,573.25","20,103.15","440,676.40","162,465.50","223,496.50","385,962.00","826,638.40"
2018-09,"414,281.50","17,028.90","431,310.40","146,999.50","222,954.25","369,953.75","801,264.15"
2018-10,"485,823.55","18,564.30","504,387.85","173,823.90","274,342.00","448,165.90","952,553.75"
2018-11,"422,792.65","17,173.50","439,966.15","152,527.00","239,837.75","392,364.75","832,330.90"
2018-12,"468,905.85","13,447.40","482,353.25","147,965.40","272,939.50","420,904.90","903,258.15"
